X,Y,Join_Count,TARGET_FID,SSBid,ost,nord,CENTROID_X,CENTROID_Y,Shape_Leng,Shape_Area,Komm2016,Fylk2016
241500.0,6646500.0,1,2342,22410006646000,2241000,6646000,241500,6646500,4000,1000000,0220,02
242500.0,6646500.0,1,2343,22420006646000,2242000,6646000,242500,6646500,4000,1000000,0220,02
243500.0,6646500.0,1,2344,22430006646000,2243000,6646000,243500,6646500,4000,1000000,0219,02
244500.0,6646500.0,1,2345,22440006646000,2244000,6646000,244500,6646500,4000,1000000,0220,02
245500.0,6646500.0,1,2346,22450006646000,2245000,6646000,245500,6646500,4000,1000000,0220,02
246500.0,6646500.0,1,2347,22460006646000,2246000,6646000,246500,6646500,4000,1000000,0219,02
247500.0,6646500.0,1,2348,22470006646000,2247000,6646000,247500,6646500,4000,1000000,0220,02
248500.0,6646500.0,1,2349,22480006646000,2248000,6646000,248500,6646500,4000,1000000,0220,02
249500.0,6646500.0,1,2350,22490006646000,2249000,6646000,249500,6646500,4000,1000000,0220,02
240500.0,6647500.0,1,2391,22400006647000,2240000,6647000,240500,6647500,4000,1000000,0220,02
241500.0,6647500.0,1,2392,22410006647000,2241000,6647000,241500,6647500,4000,1000000,0220,02
242500.0,6647500.0,1,2393,22420006647000,2242000,6647000,242500,6647500,4000,1000000,0219,02
243500.0,6647500.0,1,2394,22430006647000,2243000,6647000,243500,6647500,4000,1000000,0219,02
244500.0,6647500.0,1,2395,22440006647000,2244000,6647000,244500,6647500,4000,1000000,0219,02
245500.0,6647500.0,1,2396,22450006647000,2245000,6647000,245500,6647500,4000,1000000,0219,02
246500.0,6647500.0,1,2397,22460006647000,2246000,6647000,246500,6647500,4000,1000000,0219,02
247500.0,6647500.0,1,2398,22470006647000,2247000,6647000,247500,6647500,4000,1000000,0219,02
248500.0,6647500.0,1,2399,22480006647000,2248000,6647000,248500,6647500,4000,1000000,0219,02
249500.0,6647500.0,1,2400,22490006647000,2249000,6647000,249500,6647500,4000,1000000,0219,02
241500.0,6648500.0,1,2442,22410006648000,2241000,6648000,241500,6648500,4000,1000000,0220,02
242500.0,6648500.0,1,2443,22420006648000,2242000,6648000,242500,6648500,4000,1000000,0219,02
243500.0,6648500.0,1,2444,22430006648000,2243000,6648000,243500,6648500,4000,1000000,0219,02
244500.0,6648500.0,1,2445,22440006648000,2244000,6648000,244500,6648500,4000,1000000,0219,02
245500.0,6648500.0,1,2446,22450006648000,2245000,6648000,245500,6648500,4000,1000000,0219,02
246500.0,6648500.0,1,2447,22460006648000,2246000,6648000,246500,6648500,4000,1000000,0219,02
247500.0,6648500.0,1,2448,22470006648000,2247000,6648000,247500,6648500,4000,1000000,0219,02
248500.0,6648500.0,1,2449,22480006648000,2248000,6648000,248500,6648500,4000,1000000,0219,02
249500.0,6648500.0,1,2450,22490006648000,2249000,6648000,249500,6648500,4000,1000000,0219,02
241500.0,6649500.0,1,2492,22410006649000,2241000,6649000,241500,6649500,4000,1000000,0219,02
242500.0,6649500.0,1,2493,22420006649000,2242000,6649000,242500,6649500,4000,1000000,0219,02
243500.0,6649500.0,1,2494,22430006649000,2243000,6649000,243500,6649500,4000,1000000,0219,02
244500.0,6649500.0,1,2495,22440006649000,2244000,6649000,244500,6649500,4000,1000000,0219,02
245500.0,6649500.0,1,2496,22450006649000,2245000,6649000,245500,6649500,4000,1000000,0219,02
246500.0,6649500.0,1,2497,22460006649000,2246000,6649000,246500,6649500,4000,1000000,0219,02
247500.0,6649500.0,1,2498,22470006649000,2247000,6649000,247500,6649500,4000,1000000,0219,02
248500.0,6649500.0,1,2499,22480006649000,2248000,6649000,248500,6649500,4000,1000000,0219,02
249500.0,6649500.0,1,2500,22490006649000,2249000,6649000,249500,6649500,4000,1000000,0219,02
242500.0,6650500.0,1,43,22420006650000,2242000,6650000,242500,6650500,4000,1000000,0219,02
243500.0,6650500.0,1,44,22430006650000,2243000,6650000,243500,6650500,4000,1000000,0219,02
244500.0,6650500.0,1,45,22440006650000,2244000,6650000,244500,6650500,4000,1000000,0219,02
245500.0,6650500.0,1,46,22450006650000,2245000,6650000,245500,6650500,4000,1000000,0219,02
246500.0,6650500.0,1,47,22460006650000,2246000,6650000,246500,6650500,4000,1000000,0219,02
247500.0,6650500.0,1,48,22470006650000,2247000,6650000,247500,6650500,4000,1000000,0219,02
248500.0,6650500.0,1,49,22480006650000,2248000,6650000,248500,6650500,4000,1000000,0219,02
249500.0,6650500.0,1,50,22490006650000,2249000,6650000,249500,6650500,4000,1000000,0219,02
242500.0,6651500.0,1,93,22420006651000,2242000,6651000,242500,6651500,4000,1000000,0219,02
243500.0,6651500.0,1,94,22430006651000,2243000,6651000,243500,6651500,4000,1000000,0219,02
