SSBID1000M,pop_tot,year,easting,northing,base_station
22520006644000,1,2018,252500,6644500,14
22520006647000,1513,2018,252500,6647500,18
22520006648000,2435,2018,252500,6648500,18
22520006649000,2689,2018,252500,6649500,18
22520006650000,2604,2018,252500,6650500,18
22520006651000,1177,2018,252500,6651500,18
22520006652000,50,2018,252500,6652500,18
22520006653000,26,2018,252500,6653500,18
22520006661000,7,2018,252500,6661500,14
22530006620000,7,2018,253500,6620500,10
22530006621000,592,2018,253500,6621500,10
22530006622000,942,2018,253500,6622500,10
22530006623000,528,2018,253500,6623500,10
22530006624000,47,2018,253500,6624500,10
22530006625000,3,2018,253500,6625500,10
22530006626000,65,2018,253500,6626500,10
22530006627000,19,2018,253500,6627500,10
22530006628000,51,2018,253500,6628500,10
22530006629000,93,2018,253500,6629500,10
22530006630000,388,2018,253500,6630500,10
22530006631000,327,2018,253500,6631500,10
22530006632000,40,2018,253500,6632500,10
22530006634000,80,2018,253500,6634500,10
22530006635000,150,2018,253500,6635500,10
22530006636000,386,2018,253500,6636500,10
22530006637000,51,2018,253500,6637500,10
22530006645000,74,2018,253500,6645500,14
22530006646000,278,2018,253500,6646500,14
22530006647000,66,2018,253500,6647500,14
22530006648000,1575,2018,253500,6648500,18
22530006649000,2137,2018,253500,6649500,18
22530006650000,3003,2018,253500,6650500,18
22530006651000,3158,2018,253500,6651500,18
22530006652000,2426,2018,253500,6652500,18
22530006653000,580,2018,253500,6653500,18
22530006654000,98,2018,253500,6654500,14
22530006655000,2,2018,253500,6655500,14
22530006661000,16,2018,253500,6661500,14
22530006662000,40,2018,253500,6662500,14
22540006607000,6,2018,254500,6607500,10
22540006608000,7,2018,254500,6608500,10
22540006609000,3,2018,254500,6609500,10
22540006610000,8,2018,254500,6610500,10
22540006612000,1,2018,254500,6612500,10
22540006613000,46,2018,254500,6613500,10
22540006614000,120,2018,254500,6614500,10
22540006615000,4,2018,254500,6615500,10
22540006616000,9,2018,254500,6616500,10
22540006617000,5,2018,254500,6617500,10
22540006618000,8,2018,254500,6618500,10
22540006619000,152,2018,254500,6619500,10
22540006620000,1345,2018,254500,6620500,10
22540006621000,2592,2018,254500,6621500,10
22540006622000,1657,2018,254500,6622500,10
22540006623000,124,2018,254500,6623500,10
22540006624000,35,2018,254500,6624500,10
22540006625000,7,2018,254500,6625500,10
22540006626000,18,2018,254500,6626500,10
22540006627000,8,2018,254500,6627500,10
22540006628000,35,2018,254500,6628500,10
22540006629000,5,2018,254500,6629500,10
22540006630000,23,2018,254500,6630500,10
22540006631000,245,2018,254500,6631500,10
22540006632000,9,2018,254500,6632500,10
22540006633000,3,2018,254500,6633500,10
22540006635000,3,2018,254500,6635500,10
22540006636000,441,2018,254500,6636500,10
22540006637000,354,2018,254500,6637500,10
22540006638000,53,2018,254500,6638500,10
22540006639000,433,2018,254500,6639500,10
22540006645000,460,2018,254500,6645500,14
22540006646000,1616,2018,254500,6646500,14
22540006647000,2115,2018,254500,6647500,14
22540006648000,834,2018,254500,6648500,14
22540006649000,3301,2018,254500,6649500,18
22540006650000,2859,2018,254500,6650500,18
22540006651000,3055,2018,254500,6651500,18
22540006652000,3101,2018,254500,6652500,18
22540006653000,2862,2018,254500,6653500,18
22540006654000,850,2018,254500,6654500,14
22540006655000,9,2018,254500,6655500,14
22540006656000,5,2018,254500,6656500,14
22540006660000,6,2018,254500,6660500,14
22540006661000,91,2018,254500,6661500,14
22540006662000,20,2018,254500,6662500,14
22540006663000,14,2018,254500,6663500,14
22550006602000,195,2018,255500,6602500,10
22550006603000,432,2018,255500,6603500,10
22550006604000,295,2018,255500,6604500,10
22550006605000,318,2018,255500,6605500,10
22550006606000,44,2018,255500,6606500,10
22550006607000,54,2018,255500,6607500,10
22550006608000,6,2018,255500,6608500,10
22550006609000,2,2018,255500,6609500,10
22550006610000,7,2018,255500,6610500,10
22550006612000,3,2018,255500,6612500,10
22550006613000,90,2018,255500,6613500,10
22550006614000,101,2018,255500,6614500,10
22550006615000,43,2018,255500,6615500,10
22550006616000,6,2018,255500,6616500,10
22550006617000,8,2018,255500,6617500,10
22550006618000,14,2018,255500,6618500,10
22550006619000,32,2018,255500,6619500,10
22550006620000,123,2018,255500,6620500,10
22550006621000,876,2018,255500,6621500,10
22550006622000,1579,2018,255500,6622500,10
22550006623000,1368,2018,255500,6623500,10
22550006624000,1240,2018,255500,6624500,10
22550006625000,8,2018,255500,6625500,10
22550006626000,64,2018,255500,6626500,10
22550006627000,29,2018,255500,6627500,10
22550006628000,2,2018,255500,6628500,10
22550006630000,12,2018,255500,6630500,10
22550006631000,46,2018,255500,6631500,10
22550006632000,3,2018,255500,6632500,10
22550006633000,6,2018,255500,6633500,10
22550006634000,7,2018,255500,6634500,10
22550006635000,33,2018,255500,6635500,10
22550006636000,76,2018,255500,6636500,10
22550006638000,4,2018,255500,6638500,10
22550006639000,404,2018,255500,6639500,10
22550006640000,1217,2018,255500,6640500,10
22550006641000,267,2018,255500,6641500,10
22550006645000,4,2018,255500,6645500,14
22550006646000,551,2018,255500,6646500,14
22550006647000,2667,2018,255500,6647500,14
22550006648000,701,2018,255500,6648500,14
22550006649000,2188,2018,255500,6649500,14
22550006650000,2123,2018,255500,6650500,18
22550006651000,2709,2018,255500,6651500,18
22550006652000,2480,2018,255500,6652500,18
22550006653000,2540,2018,255500,6653500,18
22550006654000,532,2018,255500,6654500,14
22550006655000,248,2018,255500,6655500,14
22550006656000,7,2018,255500,6656500,14
22550006657000,22,2018,255500,6657500,14
22550006658000,21,2018,255500,6658500,14
22550006659000,5,2018,255500,6659500,14
22550006660000,29,2018,255500,6660500,14
22550006661000,38,2018,255500,6661500,14
22550006662000,41,2018,255500,6662500,14
22560006603000,573,2018,256500,6603500,10
22560006604000,1416,2018,256500,6604500,10
22560006605000,679,2018,256500,6605500,10
22560006606000,1241,2018,256500,6606500,10
22560006607000,126,2018,256500,6607500,10
22560006608000,53,2018,256500,6608500,10
22560006609000,28,2018,256500,6609500,10
22560006610000,20,2018,256500,6610500,10
22560006611000,3,2018,256500,6611500,10
22560006612000,6,2018,256500,6612500,10
22560006613000,32,2018,256500,6613500,10
22560006614000,52,2018,256500,6614500,10
22560006615000,21,2018,256500,6615500,10
22560006616000,4,2018,256500,6616500,10
22560006617000,6,2018,256500,6617500,10
22560006618000,20,2018,256500,6618500,10
22560006619000,29,2018,256500,6619500,10
22560006620000,23,2018,256500,6620500,10
22560006621000,42,2018,256500,6621500,10
22560006622000,26,2018,256500,6622500,10
22560006623000,31,2018,256500,6623500,10
22560006624000,320,2018,256500,6624500,10
22560006626000,4,2018,256500,6626500,10
22560006627000,43,2018,256500,6627500,10
22560006628000,23,2018,256500,6628500,10
22560006629000,20,2018,256500,6629500,10
22560006630000,17,2018,256500,6630500,10
22560006631000,38,2018,256500,6631500,10
22560006632000,66,2018,256500,6632500,10
22560006633000,21,2018,256500,6633500,10
22560006634000,4,2018,256500,6634500,10
22560006635000,16,2018,256500,6635500,10
22560006636000,5,2018,256500,6636500,10
22560006637000,41,2018,256500,6637500,10
22560006638000,3,2018,256500,6638500,10
22560006639000,12,2018,256500,6639500,10
22560006640000,41,2018,256500,6640500,10
22560006641000,473,2018,256500,6641500,10
22560006642000,1220,2018,256500,6642500,10
22560006643000,760,2018,256500,6643500,10
22560006644000,265,2018,256500,6644500,10
22560006648000,40,2018,256500,6648500,14
22560006649000,913,2018,256500,6649500,14
22560006650000,4360,2018,256500,6650500,14
22560006651000,3421,2018,256500,6651500,14
22560006652000,4557,2018,256500,6652500,14
22560006653000,3784,2018,256500,6653500,14
22560006654000,3259,2018,256500,6654500,14
22560006655000,1676,2018,256500,6655500,14
22560006656000,487,2018,256500,6656500,14
22560006657000,20,2018,256500,6657500,14
22560006658000,145,2018,256500,6658500,14
22560006659000,19,2018,256500,6659500,14
22560006660000,17,2018,256500,6660500,14
22560006661000,123,2018,256500,6661500,14
22560006662000,14,2018,256500,6662500,14
22560006672000,2,2018,256500,6672500,5
22570006602000,2,2018,257500,6602500,10
22570006603000,61,2018,257500,6603500,10
22570006604000,1,2018,257500,6604500,10
22570006605000,308,2018,257500,6605500,10
22570006606000,703,2018,257500,6606500,10
22570006607000,11,2018,257500,6607500,10
22570006608000,20,2018,257500,6608500,10
22570006609000,60,2018,257500,6609500,10
22570006610000,6,2018,257500,6610500,10
22570006611000,10,2018,257500,6611500,10
22570006612000,57,2018,257500,6612500,10
22570006613000,290,2018,257500,6613500,10
22570006614000,1809,2018,257500,6614500,10
22570006615000,24,2018,257500,6615500,10
22570006616000,11,2018,257500,6616500,10
22570006617000,9,2018,257500,6617500,10
22570006618000,20,2018,257500,6618500,10
22570006619000,15,2018,257500,6619500,10
22570006620000,49,2018,257500,6620500,10
