SSBID1000M,easting,northing,Join_Count,TARGET_FID,ost,nord,CENTROID_X,CENTROID_Y,Shape_Leng,Shape_Area,Komm2016,Fylk2016
22530006666000,253500,6666500,1,804,2253000,6666000,253500,6666500,4000,1000000,301,3
22540006666000,254500,6666500,1,805,2254000,6666000,254500,6666500,4000,1000000,301,3
22550006666000,255500,6666500,1,806,2255000,6666000,255500,6666500,4000,1000000,301,3
22560006666000,256500,6666500,1,807,2256000,6666000,256500,6666500,4000,1000000,301,3
22570006666000,257500,6666500,1,808,2257000,6666000,257500,6666500,4000,1000000,301,3
22580006666000,258500,6666500,1,809,2258000,6666000,258500,6666500,4000,1000000,301,3
22590006666000,259500,6666500,1,810,2259000,6666000,259500,6666500,4000,1000000,301,3
22600006666000,260500,6666500,1,811,2260000,6666000,260500,6666500,4000,1000000,301,3
22610006666000,261500,6666500,1,812,2261000,6666000,261500,6666500,4000,1000000,301,3
22620006666000,262500,6666500,1,813,2262000,6666000,262500,6666500,4000,1000000,301,3
22630006666000,263500,6666500,1,814,2263000,6666000,263500,6666500,4000,1000000,301,3
22640006666000,264500,6666500,1,815,2264000,6666000,264500,6666500,4000,1000000,301,3
22650006666000,265500,6666500,1,816,2265000,6666000,265500,6666500,4000,1000000,301,3
22540006667000,254500,6667500,1,855,2254000,6667000,254500,6667500,4000,1000000,301,3
22550006667000,255500,6667500,1,856,2255000,6667000,255500,6667500,4000,1000000,301,3
22560006667000,256500,6667500,1,857,2256000,6667000,256500,6667500,4000,1000000,301,3
22570006667000,257500,6667500,1,858,2257000,6667000,257500,6667500,4000,1000000,301,3
22590006667000,259500,6667500,1,860,2259000,6667000,259500,6667500,4000,1000000,301,3
22600006667000,260500,6667500,1,861,2260000,6667000,260500,6667500,4000,1000000,301,3
22610006667000,261500,6667500,1,862,2261000,6667000,261500,6667500,4000,1000000,301,3
22620006667000,262500,6667500,1,863,2262000,6667000,262500,6667500,4000,1000000,301,3
22630006667000,263500,6667500,1,864,2263000,6667000,263500,6667500,4000,1000000,301,3
22640006667000,264500,6667500,1,865,2264000,6667000,264500,6667500,4000,1000000,301,3
22550006668000,255500,6668500,1,906,2255000,6668000,255500,6668500,4000,1000000,301,3
22560006668000,256500,6668500,1,907,2256000,6668000,256500,6668500,4000,1000000,301,3
22570006668000,257500,6668500,1,908,2257000,6668000,257500,6668500,4000,1000000,301,3
22580006668000,258500,6668500,1,909,2258000,6668000,258500,6668500,4000,1000000,301,3
22590006668000,259500,6668500,1,910,2259000,6668000,259500,6668500,4000,1000000,301,3
22600006668000,260500,6668500,1,911,2260000,6668000,260500,6668500,4000,1000000,301,3
22610006668000,261500,6668500,1,912,2261000,6668000,261500,6668500,4000,1000000,301,3
22620006668000,262500,6668500,1,913,2262000,6668000,262500,6668500,4000,1000000,301,3
22630006668000,263500,6668500,1,914,2263000,6668000,263500,6668500,4000,1000000,301,3
22640006668000,264500,6668500,1,915,2264000,6668000,264500,6668500,4000,1000000,301,3
22550006669000,255500,6669500,1,956,2255000,6669000,255500,6669500,4000,1000000,301,3
22560006669000,256500,6669500,1,957,2256000,6669000,256500,6669500,4000,1000000,301,3
22570006669000,257500,6669500,1,958,2257000,6669000,257500,6669500,4000,1000000,301,3
22580006669000,258500,6669500,1,959,2258000,6669000,258500,6669500,4000,1000000,301,3
22590006669000,259500,6669500,1,960,2259000,6669000,259500,6669500,4000,1000000,301,3
22600006669000,260500,6669500,1,961,2260000,6669000,260500,6669500,4000,1000000,301,3
22610006669000,261500,6669500,1,962,2261000,6669000,261500,6669500,4000,1000000,301,3
22620006669000,262500,6669500,1,963,2262000,6669000,262500,6669500,4000,1000000,301,3
22630006669000,263500,6669500,1,964,2263000,6669000,263500,6669500,4000,1000000,301,3
22640006669000,264500,6669500,1,965,2264000,6669000,264500,6669500,4000,1000000,301,3
22550006670000,255500,6670500,1,1006,2255000,6670000,255500,6670500,4000,1000000,301,3
22560006670000,256500,6670500,1,1007,2256000,6670000,256500,6670500,4000,1000000,301,3
22570006670000,257500,6670500,1,1008,2257000,6670000,257500,6670500,4000,1000000,301,3
22580006670000,258500,6670500,1,1009,2258000,6670000,258500,6670500,4000,1000000,301,3
22590006670000,259500,6670500,1,1010,2259000,6670000,259500,6670500,4000,1000000,301,3
22600006670000,260500,6670500,1,1011,2260000,6670000,260500,6670500,4000,1000000,301,3
22610006670000,261500,6670500,1,1012,2261000,6670000,261500,6670500,4000,1000000,301,3
22620006670000,262500,6670500,1,1013,2262000,6670000,262500,6670500,4000,1000000,301,3
22630006670000,263500,6670500,1,1014,2263000,6670000,263500,6670500,4000,1000000,301,3
22550006671000,255500,6671500,1,1056,2255000,6671000,255500,6671500,4000,1000000,301,3
22560006671000,256500,6671500,1,1057,2256000,6671000,256500,6671500,4000,1000000,301,3
22570006671000,257500,6671500,1,1058,2257000,6671000,257500,6671500,4000,1000000,301,3
22580006671000,258500,6671500,1,1059,2258000,6671000,258500,6671500,4000,1000000,301,3
22590006671000,259500,6671500,1,1060,2259000,6671000,259500,6671500,4000,1000000,301,3
22600006671000,260500,6671500,1,1061,2260000,6671000,260500,6671500,4000,1000000,301,3
22610006671000,261500,6671500,1,1062,2261000,6671000,261500,6671500,4000,1000000,301,3
22620006671000,262500,6671500,1,1063,2262000,6671000,262500,6671500,4000,1000000,301,3
22630006671000,263500,6671500,1,1064,2263000,6671000,263500,6671500,4000,1000000,301,3
22640006671000,264500,6671500,1,1065,2264000,6671000,264500,6671500,4000,1000000,301,3
22540006672000,254500,6672500,1,1105,2254000,6672000,254500,6672500,4000,1000000,301,3
22550006672000,255500,6672500,1,1106,2255000,6672000,255500,6672500,4000,1000000,301,3
22570006672000,257500,6672500,1,1108,2257000,6672000,257500,6672500,4000,1000000,301,3
22580006672000,258500,6672500,1,1109,2258000,6672000,258500,6672500,4000,1000000,301,3
22590006672000,259500,6672500,1,1110,2259000,6672000,259500,6672500,4000,1000000,301,3
22600006672000,260500,6672500,1,1111,2260000,6672000,260500,6672500,4000,1000000,301,3
22620006672000,262500,6672500,1,1113,2262000,6672000,262500,6672500,4000,1000000,301,3
22630006672000,263500,6672500,1,1114,2263000,6672000,263500,6672500,4000,1000000,301,3
22550006673000,255500,6673500,1,1156,2255000,6673000,255500,6673500,4000,1000000,301,3
