SSBID1000M,pop_tot,year,easting,northing
22550006608000,4,2015,255500.0,6608500.0
22550006609000,2,2015,255500.0,6609500.0
22550006610000,3,2015,255500.0,6610500.0
22550006612000,5,2015,255500.0,6612500.0
22550006613000,78,2015,255500.0,6613500.0
22550006614000,95,2015,255500.0,6614500.0
22550006615000,46,2015,255500.0,6615500.0
22550006616000,5,2015,255500.0,6616500.0
22550006617000,6,2015,255500.0,6617500.0
22550006618000,20,2015,255500.0,6618500.0
22550006619000,35,2015,255500.0,6619500.0
22550006620000,121,2015,255500.0,6620500.0
22550006621000,885,2015,255500.0,6621500.0
22550006622000,1651,2015,255500.0,6622500.0
22550006623000,1353,2015,255500.0,6623500.0
22550006624000,1237,2015,255500.0,6624500.0
22550006625000,18,2015,255500.0,6625500.0
22550006626000,51,2015,255500.0,6626500.0
22550006627000,25,2015,255500.0,6627500.0
22550006628000,2,2015,255500.0,6628500.0
22550006630000,15,2015,255500.0,6630500.0
22550006631000,52,2015,255500.0,6631500.0
22550006632000,3,2015,255500.0,6632500.0
22550006633000,5,2015,255500.0,6633500.0
22550006634000,7,2015,255500.0,6634500.0
22550006635000,33,2015,255500.0,6635500.0
22550006636000,74,2015,255500.0,6636500.0
22550006638000,2,2015,255500.0,6638500.0
22550006639000,436,2015,255500.0,6639500.0
22550006640000,1226,2015,255500.0,6640500.0
22550006641000,271,2015,255500.0,6641500.0
22550006645000,6,2015,255500.0,6645500.0
22550006646000,533,2015,255500.0,6646500.0
22550006647000,2022,2015,255500.0,6647500.0
22550006648000,386,2015,255500.0,6648500.0
22550006649000,1796,2015,255500.0,6649500.0
22550006650000,2068,2015,255500.0,6650500.0
22550006651000,2644,2015,255500.0,6651500.0
22550006652000,2348,2015,255500.0,6652500.0
22550006653000,2505,2015,255500.0,6653500.0
22550006654000,536,2015,255500.0,6654500.0
22550006655000,254,2015,255500.0,6655500.0
22550006656000,13,2015,255500.0,6656500.0
22550006657000,32,2015,255500.0,6657500.0
22550006658000,17,2015,255500.0,6658500.0
22550006659000,6,2015,255500.0,6659500.0
22550006660000,26,2015,255500.0,6660500.0
22550006661000,40,2015,255500.0,6661500.0
22550006662000,26,2015,255500.0,6662500.0
22560006603000,590,2015,256500.0,6603500.0
22560006604000,1322,2015,256500.0,6604500.0
22560006605000,651,2015,256500.0,6605500.0
22560006606000,1172,2015,256500.0,6606500.0
22560006607000,115,2015,256500.0,6607500.0
22560006608000,64,2015,256500.0,6608500.0
22560006609000,19,2015,256500.0,6609500.0
22560006610000,23,2015,256500.0,6610500.0
22560006611000,3,2015,256500.0,6611500.0
22560006612000,12,2015,256500.0,6612500.0
22560006613000,28,2015,256500.0,6613500.0
22560006614000,47,2015,256500.0,6614500.0
22560006615000,21,2015,256500.0,6615500.0
22560006616000,3,2015,256500.0,6616500.0
22560006617000,8,2015,256500.0,6617500.0
22560006618000,18,2015,256500.0,6618500.0
22560006619000,33,2015,256500.0,6619500.0
22560006620000,27,2015,256500.0,6620500.0
22560006621000,44,2015,256500.0,6621500.0
22560006622000,24,2015,256500.0,6622500.0
22560006623000,30,2015,256500.0,6623500.0
22560006624000,314,2015,256500.0,6624500.0
22560006626000,5,2015,256500.0,6626500.0
22560006627000,47,2015,256500.0,6627500.0
22560006628000,18,2015,256500.0,6628500.0
22560006629000,16,2015,256500.0,6629500.0
22560006630000,20,2015,256500.0,6630500.0
22560006631000,34,2015,256500.0,6631500.0
22560006632000,54,2015,256500.0,6632500.0
22560006633000,26,2015,256500.0,6633500.0
22560006634000,2,2015,256500.0,6634500.0
22560006635000,14,2015,256500.0,6635500.0
22560006636000,4,2015,256500.0,6636500.0
22560006637000,29,2015,256500.0,6637500.0
22560006638000,1,2015,256500.0,6638500.0
22560006639000,18,2015,256500.0,6639500.0
22560006640000,42,2015,256500.0,6640500.0
22560006641000,218,2015,256500.0,6641500.0
22560006642000,1185,2015,256500.0,6642500.0
22560006643000,712,2015,256500.0,6643500.0
22560006644000,274,2015,256500.0,6644500.0
22560006648000,33,2015,256500.0,6648500.0
22560006649000,857,2015,256500.0,6649500.0
22560006650000,4156,2015,256500.0,6650500.0
22560006651000,3163,2015,256500.0,6651500.0
22560006652000,4330,2015,256500.0,6652500.0
22560006653000,3652,2015,256500.0,6653500.0
22560006654000,3163,2015,256500.0,6654500.0
22560006655000,1629,2015,256500.0,6655500.0
22560006656000,472,2015,256500.0,6656500.0
22560006657000,18,2015,256500.0,6657500.0
22560006658000,125,2015,256500.0,6658500.0
22560006659000,21,2015,256500.0,6659500.0
22560006660000,18,2015,256500.0,6660500.0
22560006661000,128,2015,256500.0,6661500.0
22560006672000,2,2015,256500.0,6672500.0
22570006602000,4,2015,257500.0,6602500.0
22570006603000,52,2015,257500.0,6603500.0
22570006604000,1,2015,257500.0,6604500.0
22570006605000,282,2015,257500.0,6605500.0
22570006606000,716,2015,257500.0,6606500.0
22570006607000,11,2015,257500.0,6607500.0
22570006608000,22,2015,257500.0,6608500.0
22570006609000,56,2015,257500.0,6609500.0
22570006610000,4,2015,257500.0,6610500.0
22570006611000,7,2015,257500.0,6611500.0
22570006612000,60,2015,257500.0,6612500.0
22570006613000,295,2015,257500.0,6613500.0
22570006614000,1694,2015,257500.0,6614500.0
22570006615000,28,2015,257500.0,6615500.0
22570006616000,12,2015,257500.0,6616500.0
22570006617000,9,2015,257500.0,6617500.0
22570006618000,17,2015,257500.0,6618500.0
22570006619000,15,2015,257500.0,6619500.0
22570006620000,45,2015,257500.0,6620500.0
22570006621000,14,2015,257500.0,6621500.0
22570006622000,49,2015,257500.0,6622500.0
22570006623000,18,2015,257500.0,6623500.0
22570006624000,69,2015,257500.0,6624500.0
22570006626000,3,2015,257500.0,6626500.0
22570006628000,23,2015,257500.0,6628500.0
22570006629000,20,2015,257500.0,6629500.0
22570006630000,2,2015,257500.0,6630500.0
22570006631000,7,2015,257500.0,6631500.0
22570006632000,32,2015,257500.0,6632500.0
22570006633000,20,2015,257500.0,6633500.0
22570006634000,59,2015,257500.0,6634500.0
22570006635000,19,2015,257500.0,6635500.0
22570006636000,4,2015,257500.0,6636500.0
22570006637000,141,2015,257500.0,6637500.0
22570006638000,17,2015,257500.0,6638500.0
22570006639000,42,2015,257500.0,6639500.0
22570006640000,172,2015,257500.0,6640500.0
22570006641000,139,2015,257500.0,6641500.0
22570006642000,1113,2015,257500.0,6642500.0
22570006643000,2514,2015,257500.0,6643500.0
22570006644000,613,2015,257500.0,6644500.0
22570006647000,12,2015,257500.0,6647500.0
22570006648000,23,2015,257500.0,6648500.0
22570006649000,13,2015,257500.0,6649500.0
22570006650000,3513,2015,257500.0,6650500.0
22570006651000,3517,2015,257500.0,6651500.0
22570006652000,2428,2015,257500.0,6652500.0
22570006653000,4464,2015,257500.0,6653500.0
22570006654000,3788,2015,257500.0,6654500.0
22570006655000,2162,2015,257500.0,6655500.0
22570006656000,1880,2015,257500.0,6656500.0
22570006657000,459,2015,257500.0,6657500.0
22570006660000,2,2015,257500.0,6660500.0
22570006662000,10,2015,257500.0,6662500.0
22580006604000,13,2015,258500.0,6604500.0
