UniformRandom,GA (1 week),PopulationProportionate,Uniform,Random,AllCityCenter,SLS,GA (1 year),MA
338,341,338,338,718,776,338,338,338
779,779,779,779,779,1222,779,779,779
1546,1546,1546,1546,1546,2421,1546,1546,1546
545,545,545,545,545,545,545,545,545
623,623,623,623,623,1310,881,623,623
1870,1870,3066,1870,1870,4658,1870,1870,1870
279,279,279,279,279,607,279,279,279
1269,1269,1269,1269,1269,3102,1269,1269,1269
337,337,337,337,337,337,337,337,337
246,246,246,246,246,246,246,246,246
691,691,691,921,921,1038,691,691,691
1382,1382,1382,1382,1382,3842,1382,1382,1382
438,385,385,438,438,385,385,385,385
278,278,278,278,278,505,278,278,278
410,410,410,410,987,1775,410,410,410
646,646,646,646,646,1407,646,646,646
1206,1206,1206,1206,1206,1032,1206,1206,1206
592,592,592,681,681,594,592,592,592
621,621,621,621,621,571,621,621,621
642,642,642,642,642,769,753,642,642
1001,1001,2231,1001,1001,3769,1001,1001,1001
756,756,756,756,756,1953,756,756,756
1633,1633,1633,1633,1642,1770,1642,1633,1633
1834,1834,1834,1834,1834,2948,1834,1834,1834
314,314,314,495,495,314,314,314,314
399,399,399,399,399,781,526,399,399
366,366,366,478,478,593,366,366,366
694,694,694,694,694,639,694,694,694
696,696,696,696,696,1099,696,696,696
1098,1098,1098,1098,1098,1544,1098,1098,1098
429,429,429,429,429,1254,429,429,429
239,239,239,239,239,981,239,239,239
1008,1008,1112,1008,1008,2885,1008,1008,1008
1974,1974,2430,1386,1974,3183,1386,1974,1974
1499,1499,1499,1499,1499,2340,1499,1499,1499
716,716,716,716,716,1190,716,716,716
535,535,535,876,945,1198,876,535,535
1040,1040,1001,1040,1040,1040,1001,1001,1001
512,512,512,512,512,1708,512,512,512
1094,1094,2897,1094,1094,3379,1094,1094,1094
478,478,478,478,478,945,478,478,478
663,663,413,663,663,232,472,571,663
4077,3828,3828,4077,4685,4581,3828,3828,4077
1138,988,1492,1138,1492,1919,988,988,1492
1294,1294,1294,1294,1294,1839,1294,1294,1294
310,310,310,310,310,961,310,310,310
543,543,543,543,543,978,543,543,543
722,722,385,694,694,694,385,607,722
1227,1227,1227,1315,1227,1654,1315,1227,1227
1005,1005,543,1174,1027,303,642,543,1005
1785,1711,1326,1947,1711,987,1785,1689,1785
1391,1391,1025,1391,1391,1056,1391,1391,1391
3665,3888,3295,4046,3295,3055,3665,3888,3888
938,938,938,938,938,891,938,938,938
350,350,364,350,350,557,350,350,350
767,767,767,767,767,2382,767,767,767
810,810,810,810,810,1239,810,810,810
451,451,451,451,451,1754,451,451,451
510,462,462,510,511,511,510,462,462
626,626,626,626,718,626,626,626,626
1713,1713,1713,1713,1713,2647,1713,1713,1713
447,447,447,447,620,786,447,447,447
603,744,603,825,862,661,603,603,603
1455,1455,1455,1455,2105,2284,1455,1455,1455
3957,3577,3957,4406,4403,4406,3577,3577,3577
2278,1436,2278,2829,2617,2617,2062,1436,1436
679,498,498,837,951,498,498,498,498
656,656,656,956,956,1275,956,656,656
367,367,367,367,367,1153,367,367,367
1336,1329,1336,1329,1350,1336,1336,1329,1336
647,642,647,642,642,1029,1029,647,647
131,131,131,131,131,131,131,131,131
492,492,492,492,492,1126,492,492,492
1203,1203,1203,1203,1203,3223,1203,1203,1203
590,590,590,592,1049,763,590,590,592
671,831,671,671,1033,969,671,671,759
968,775,766,1036,1036,1017,766,968,1017
1294,954,954,1294,1307,1307,954,954,954
1217,796,796,1217,1217,1271,796,1049,1217
1113,957,1113,1113,1113,1113,1113,1113,957
377,346,377,377,519,685,228,346,346
766,766,766,766,823,926,766,766,766
866,866,866,866,866,3470,866,866,866
190,190,190,391,391,190,190,190,190
188,188,188,188,188,415,188,188,188
1486,1486,1374,1486,1600,1600,1486,1486,1486
1179,1179,1179,1179,1179,1866,1616,1179,1179
420,420,420,420,420,1617,420,420,420
907,907,907,907,861,842,907,907,907
325,325,325,762,325,1012,762,325,762
535,569,569,535,569,662,569,569,569
445,445,445,445,445,1062,445,445,445
469,297,216,297,216,691,297,297,469
580,580,580,580,580,580,580,580,580
1017,1017,905,1132,905,1132,1017,1017,1132
1656,1656,1369,1369,1234,3292,1234,1369,1656
839,839,839,839,839,1077,839,839,839
541,541,541,541,541,670,541,541,541
510,510,510,510,510,1731,510,510,510
253,253,253,253,253,253,253,253,253
