UniformRandom,GA (1 week),PopulationProportionate,Uniform,Random,AllCityCenter,SLS,GA (1 year),MA
594,594,539,594,594,539,539,539,539
1292,593,593,593,593,2073,1292,593,1730
657,535,535,657,535,443,443,535,535
660,542,542,660,542,635,542,542,542
1297,1238,1238,1297,1297,1183,1183,1297,1297
1589,1226,1226,1226,1226,2718,1589,1226,1226
150,150,150,150,150,150,150,150,150
546,543,543,543,543,981,543,543,543
1396,1396,1396,808,1396,1973,1396,808,1396
846,846,846,846,1196,1609,846,846,846
1038,1038,1038,1038,1038,1777,1198,1198,1038
1701,1701,1701,1701,1701,1701,1701,1701,1701
746,746,746,746,746,1192,746,746,746
1004,1286,629,1286,629,1400,1286,1033,1286
744,744,744,744,744,2065,744,744,744
1335,1335,1335,1335,1335,1368,1335,1335,1335
265,265,265,265,265,265,265,265,265
889,889,889,889,1325,1394,889,889,889
1048,1048,1048,670,1048,2307,1048,670,1048
947,947,947,947,947,947,947,947,947
859,859,859,859,1000,1339,859,859,859
668,668,490,668,490,896,490,490,668
659,659,2258,659,659,3293,659,1350,659
665,665,665,665,665,665,665,665,665
390,390,390,390,390,390,390,390,390
481,481,481,481,481,1242,685,685,481
648,648,648,648,648,709,648,648,648
563,563,563,563,563,563,563,563,563
335,335,263,335,335,263,263,263,263
404,404,404,404,404,1078,404,404,704
526,526,526,526,526,1787,526,526,526
946,946,946,946,946,1062,946,946,946
838,838,838,838,838,1241,838,838,838
2830,2830,2994,2026,2830,3963,2830,2830,2830
962,962,962,962,962,1825,962,962,962
183,183,183,183,183,410,183,183,183
636,636,636,636,636,795,636,636,636
520,520,520,520,520,1447,520,520,520
697,697,697,697,697,1383,697,697,697
2284,2284,2911,1652,2284,3437,2339,2284,2284
688,881,688,688,588,1173,881,881,688
599,599,599,599,599,952,599,599,599
445,445,445,445,445,758,445,445,445
678,678,678,678,678,1441,879,678,678
1327,863,863,1327,863,1626,1327,1327,1327
507,507,507,507,507,816,507,507,507
780,780,780,780,780,780,780,780,780
1014,1014,1014,1014,1014,3321,1014,1014,1014
409,409,497,409,497,503,503,409,409
544,544,544,544,544,1409,547,544,544
927,927,310,310,927,1484,927,927,927
570,570,570,909,562,909,570,570,570
542,542,542,746,542,467,542,542,542
1360,1092,1092,1360,1092,1522,1092,1092,1092
836,655,655,836,836,655,655,655,655
463,591,591,463,591,427,463,463,463
542,542,542,542,542,940,542,542,542
867,867,867,867,874,943,874,867,867
924,924,924,924,924,3613,924,924,924
598,598,598,598,598,1073,598,598,598
702,702,702,702,702,1258,702,702,702
637,637,637,637,637,1048,637,637,891
543,543,543,543,543,896,543,543,543
507,507,507,507,507,636,507,507,507
772,772,772,829,829,844,829,772,772
539,539,539,539,539,802,539,539,539
3238,3238,3238,3238,3238,3238,3238,3238,3238
917,886,917,917,917,1225,917,917,917
1111,1111,1111,1111,1111,2045,1111,1111,1111
919,919,919,919,919,1524,919,919,919
455,567,455,682,682,682,567,455,682
1140,1140,960,1140,1227,1140,1140,1140,1140
708,708,708,708,708,2304,708,708,708
620,620,620,620,620,620,620,620,620
713,713,713,713,713,1509,713,713,713
1489,1489,1489,1489,1489,1489,1489,1489,1489
412,412,412,412,412,333,412,412,412
392,392,392,550,550,211,392,392,372
438,438,438,438,438,520,438,438,438
281,281,281,281,281,1126,281,281,281
920,920,920,920,1333,1782,920,920,1333
359,359,359,359,359,3099,359,359,359
809,809,1057,1118,1312,876,809,809,876
876,876,809,1312,1268,1118,876,876,877
362,362,362,625,625,625,362,362,362
1235,1235,1235,1235,1235,1810,1235,1235,1235
667,729,667,729,729,956,667,667,667
858,858,858,858,858,1113,469,858,858
698,698,698,1051,1051,1051,698,698,698
437,437,437,437,437,1047,437,437,437
246,246,246,246,246,350,617,246,246
441,441,441,441,441,1303,441,441,441
783,783,715,783,783,1036,783,783,783
254,254,254,254,254,315,254,254,254
935,468,468,935,468,979,935,468,468
1084,1084,1084,1084,1084,1360,1084,1084,1084
424,424,424,424,424,403,424,424,424
7226,7226,7226,7226,7226,8128,7226,7445,7226
1815,1815,1815,1815,1815,1883,1815,1815,1815
158,158,158,158,158,1424,158,158,158
1434,1434,1434,1434,1434,1596,1434,1434,1434
377,377,377,377,377,426,377,377,377
372,372,372,372,372,372,372,372,372
961,961,961,1122,1122,1277,961,961,1122
107,107,107,107,107,107,107,107,107
1084,1012,814,1141,1084,1012,1012,1012,1012
230,230,230,230,230,770,230,230,230
643,643,643,643,643,3546,643,643,643
259,259,259,259,259,259,259,259,259
294,294,294,294,294,981,981,806,806
352,352,352,352,352,1082,352,352,352
731,731,731,731,731,2096,731,731,731
257,257,257,257,257,257,257,257,257
749,749,749,749,541,1420,749,749,749
993,1057,526,1057,526,1057,1057,1057,1057
1891,1891,1891,1891,1891,3004,1891,1891,1891
541,366,366,709,541,491,366,366,366
1200,546,697,1471,1200,995,697,546,546
1798,819,1496,1798,1798,1496,1496,1280,819
743,316,316,1002,1002,316,316,316,316
1132,1132,1132,1132,1547,1352,1132,1132,1132
306,306,306,306,306,306,306,306,306
1157,1157,1157,1157,1157,1250,1157,1157,1157
1479,1479,1479,1479,2298,3089,1479,1479,1479
1177,1177,1177,1177,1177,1296,1177,1177,1177
532,736,736,736,532,1293,810,532,532
566,640,566,566,362,1123,640,640,566
874,874,874,874,874,1067,874,874,874
917,1241,917,917,917,1380,917,917,917
7991,7991,7991,7991,7991,8063,7991,7991,7991
1874,1874,1874,1874,1874,2987,1874,1874,1874
648,648,648,648,648,1829,648,648,648
1327,1327,1327,1327,1327,1412,1327,1327,1327
239,239,239,239,239,779,239,239,239
284,284,284,284,284,284,284,284,284
1163,1163,1163,1163,1163,1531,1163,1163,1310
2156,1955,1955,2156,2156,1955,1955,1955,1955
353,353,353,746,746,580,353,353,353
588,588,588,588,588,1211,588,588,588
852,606,606,852,852,829,606,606,606
739,739,739,739,739,1497,739,739,739
1012,1012,1012,1012,1012,1487,1012,1012,1012
587,699,587,1061,1140,814,699,587,814
555,555,555,555,555,555,553,553,553
794,729,728,1100,1100,729,729,729,729
1184,1184,1184,1333,1184,1515,1333,1184,1184
417,417,417,417,417,417,417,417,417
558,558,558,558,558,1217,558,558,558
1560,1560,1560,1560,1560,2673,1560,1560,1560
751,560,320,751,751,320,320,320,751
366,366,366,366,366,704,366,366,461
837,837,2082,837,837,2944,2082,837,837
1267,653,1088,653,653,714,1088,1054,653
1412,1412,1412,1147,1412,2623,1412,1412,1412
1009,211,533,1009,211,317,533,533,533
1016,1016,1016,1016,1016,3969,1016,1016,1016
482,421,1035,482,482,482,482,1035,1205
597,345,345,345,345,1217,597,345,345
1011,1266,1011,1011,1011,1011,1478,1011,1011
3673,5168,3105,4185,3105,2142,1003,1841,5168
2040,1998,1998,3028,2040,2040,3028,2258,1421
627,1994,1994,3375,627,627,970,970,1994
1193,1240,1240,1193,1240,1193,1240,1240,1193
3636,3664,3664,3664,3664,3636,3664,3664,3636
1394,1394,1394,1394,3662,1394,1394,1394,1399
3827,2386,2386,2386,1927,1927,2386,1672,857
3083,1173,2516,1090,2778,1524,2409,1240,1166
1833,616,2326,2649,1833,1833,2649,642,616
1599,1599,1599,1599,1599,1599,1502,1599,1599
1618,1241,1363,1363,1363,1413,1363,1363,1363
1306,1113,1066,927,1306,1427,927,927,1113
376,546,376,600,376,376,376,376,376
1776,1776,2403,3094,1776,1715,1776,1776,1776
3916,3923,3923,2528,3923,3605,3808,3923,3946
901,901,901,901,778,2075,901,901,901
725,411,471,725,540,540,540,471,725
944,471,708,944,708,399,708,708,708
960,626,626,960,960,960,960,834,960
791,791,791,791,697,1222,791,791,791
897,897,897,897,983,983,897,897,897
518,555,373,789,373,518,823,823,982
1341,1179,1179,1179,1268,1753,1461,733,1268
1039,1039,1039,1145,1039,1145,1145,1039,1039
1383,1383,2171,1383,1383,2318,2171,1383,1383
773,520,773,520,520,995,520,520,520
442,381,381,381,381,442,381,381,381
638,371,371,463,371,371,371,371,371
2472,2286,2286,2286,2286,2472,2472,2286,2286
928,928,928,928,928,1386,928,928,928
305,305,305,305,305,2136,305,305,305
995,995,1523,995,479,2126,995,693,995
1129,1129,1129,1129,1398,1229,1129,1344,1129
569,569,569,569,569,916,569,569,569
1144,1144,1144,1412,1331,1574,1412,1412,1144
1899,1899,2182,2182,1899,3012,1899,1899,1899
422,422,422,422,422,649,422,422,422
700,700,700,700,700,581,700,700,700
371,371,371,371,371,1059,371,371,371
1125,1125,1586,1125,1125,2023,1125,1125,1125
896,896,564,896,564,1117,642,642,896
499,499,499,499,499,499,499,499,499
568,568,568,568,568,1440,568,568,568
384,384,384,384,384,384,384,384,384
739,739,739,739,739,1078,739,739,739
465,465,465,465,1113,1223,465,465,465
266,266,266,338,338,266,266,266,266
470,470,470,470,470,1347,470,470,470
295,295,295,295,295,295,295,295,295
925,925,521,925,521,1209,957,957,925
566,566,566,724,566,385,385,566,566
595,595,595,601,601,601,601,601,595
1271,1271,623,1271,1271,1479,1271,1271,623
1468,1468,1468,1468,1468,3423,1468,1468,1468
785,785,785,785,785,1152,785,785,785
1509,1509,1509,1566,1509,1581,1566,1566,1509
1635,1635,1635,1635,1635,2749,1635,1635,1635
1478,1478,1478,1478,1478,1638,1478,1478,1478
2333,2333,2507,1510,725,3433,2333,2333,2333
612,612,487,612,487,661,661,612,487
763,519,519,763,519,782,763,763,519
407,407,407,407,407,939,407,407,407
731,463,731,731,731,893,731,731,731
632,632,632,632,1390,1390,632,632,632
535,535,535,535,535,1260,978,978,535
1265,1265,1265,1265,1265,3905,1265,1265,1265
595,650,224,650,224,1059,650,650,595
1039,1039,1039,1039,605,1533,1468,1039,1468
461,461,461,461,562,1424,461,461,461
2572,2572,2572,2549,2549,3449,2549,2549,2572
415,415,415,415,415,1304,441,415,415
1302,1302,1302,1302,1302,1529,1302,1302,1302
1591,1591,1591,1591,1591,1646,1591,1591,1591
582,582,582,582,582,562,543,582,626
426,426,426,426,426,209,960,426,426
521,521,521,521,521,1264,521,521,521
1344,1344,1344,1344,1584,1344,1344,1344,1344
570,570,570,570,688,576,570,570,570
535,535,535,535,535,946,535,535,789
834,834,834,834,913,793,906,834,834
546,546,546,546,971,914,546,546,681
893,846,571,893,893,677,677,571,893
238,238,238,732,732,427,238,238,238
537,537,537,1012,1012,666,537,537,597
1274,1112,1010,1522,1381,1010,1010,1075,1112
584,584,584,950,950,950,687,584,584
1022,1022,944,1022,1022,1172,1022,1022,1022
934,277,277,934,934,1020,688,277,277
344,344,344,344,344,344,344,344,344
530,530,530,530,530,1149,530,530,530
438,486,438,438,486,819,438,486,486
712,712,712,853,712,1192,712,712,712
669,669,669,669,669,730,669,669,669
438,438,438,438,549,854,513,438,438
1691,1691,1691,1691,1691,1729,1691,1691,1691
348,453,348,453,453,575,453,348,348
479,479,479,737,479,1166,737,737,479
478,478,478,478,478,478,478,478,478
1518,1278,1278,1518,1518,1278,1278,1278,1278
836,836,836,836,836,1698,836,836,836
190,190,190,190,190,1493,190,190,190
604,604,604,604,604,1785,604,604,604
821,821,821,821,940,1412,821,821,821
1146,548,548,548,1146,1301,548,548,1146
1434,1434,1434,1434,1434,1434,1434,1434,1434
773,773,773,773,1065,2027,773,773,773
470,470,470,601,601,650,601,601,470
788,788,788,788,788,1457,788,788,788
265,265,265,265,265,265,265,265,265
641,641,641,641,641,982,982,641,641
522,522,522,522,522,682,579,522,522
923,742,742,982,982,742,742,742,742
693,693,693,968,968,731,799,693,693
1169,1169,1169,1169,1169,1644,1169,1169,1422
835,595,595,835,835,595,595,595,595
519,519,519,519,519,519,519,519,519
462,462,462,462,462,1414,462,462,462
923,772,772,1221,772,1221,923,923,923
898,898,898,898,898,2529,898,898,898
1647,1647,1647,1655,1647,1647,1647,1647,1647
803,803,803,803,943,1521,803,803,803
1098,1098,1098,1098,1098,1147,1098,1098,1098
955,955,955,955,955,1818,955,955,955
687,687,687,687,687,1973,687,687,687
532,532,532,532,532,1293,532,532,532
551,551,2705,551,551,2546,551,551,551
322,322,322,322,322,956,322,322,322
1173,1173,1173,1173,1173,1173,1173,1173,1173
419,649,419,419,419,1158,419,649,419
722,722,722,722,722,1485,722,722,722
348,348,348,348,348,751,348,348,348
606,606,606,606,606,606,606,606,606
213,213,213,213,213,1103,213,213,213
795,795,795,795,795,1104,795,795,795
880,880,880,880,880,2178,880,880,880
828,828,828,828,828,862,935,828,828
494,494,683,494,683,1167,494,494,683
412,685,412,412,412,922,685,685,412
611,611,611,920,920,611,611,611,611
380,380,380,380,380,380,380,380,380
591,591,591,591,591,2285,591,591,591
442,442,442,442,442,891,593,442,442
1122,1122,1122,1122,1122,1796,1122,1122,1122
482,301,301,301,301,301,301,301,301
835,835,835,835,835,913,835,835,835
798,798,798,798,798,798,798,798,798
1020,1020,1020,1020,1020,1021,1020,1020,1020
1573,1573,1573,1573,1573,1880,1573,1573,1573
417,619,417,417,417,1152,417,619,417
742,742,742,742,742,2622,742,742,742
392,392,392,392,392,774,519,392,392
885,885,459,885,459,1294,1139,1139,1139
380,380,380,380,736,1054,721,380,380
639,639,639,728,728,728,639,639,639
501,501,501,501,501,1351,501,501,501
560,560,560,560,802,802,560,560,560
1203,1363,1203,1370,1501,1501,1203,1363,1363
582,582,1420,582,1420,2070,582,582,1402
263,263,263,526,507,526,507,263,263
541,541,541,541,541,1401,541,541,541
1413,1413,1446,574,1413,1756,1413,1413,1413
582,600,556,582,582,649,600,582,582
1797,1743,1797,1797,1797,2856,1797,1743,1743
134,134,134,134,134,134,134,134,134
777,777,777,777,777,1259,777,777,777
451,451,451,451,451,994,683,451,451
938,938,938,938,938,2378,938,938,938
385,385,385,385,385,3038,385,385,385
632,632,632,632,632,979,632,632,632
416,416,416,416,416,416,416,416,416
946,946,946,946,946,1178,946,946,946
975,975,677,765,975,1702,387,975,975
506,506,506,506,506,1060,678,506,506
173,173,173,173,173,279,173,173,173
654,654,654,654,654,1285,654,654,654
472,472,472,472,472,652,472,472,472
511,731,511,511,511,1480,987,731,511
513,513,513,513,513,657,513,513,513
586,586,586,586,586,586,586,586,586
1164,1249,1164,1164,1164,1375,1164,1164,1164
586,586,584,757,586,526,584,586,757
356,356,356,356,356,957,356,356,356
486,486,260,486,486,486,486,486,486
455,455,455,455,455,1344,455,455,455
387,548,387,387,548,549,548,548,387
824,824,824,824,824,2757,824,824,824
489,489,489,489,489,1499,489,489,489
776,776,776,776,776,776,776,776,776
208,208,208,644,208,208,208,208,208
622,622,441,622,622,441,441,441,681
601,601,601,601,601,601,601,601,601
335,1057,1057,335,335,1384,1057,1057,335
555,555,569,555,555,1112,592,555,555
1270,1270,737,1179,1038,2373,1038,1303,1270
931,885,885,885,885,931,885,885,885
1196,1020,1297,910,1020,1435,1171,1020,1020
520,520,520,520,520,581,581,520,520
448,448,448,448,448,619,448,448,448
609,609,698,698,609,698,609,698,665
366,366,366,366,366,366,366,180,366
1398,1351,1312,1398,1312,1398,1395,1312,1312
5658,5310,5310,5658,5310,5310,5310,5310,5310
344,1066,1050,344,1050,1353,1050,1050,344
1347,1347,3132,1347,1347,3132,2543,1347,1347
1089,773,658,1223,658,711,711,773,773
335,335,326,335,335,267,335,335,335
746,661,661,746,661,352,746,746,1159
4702,4297,4164,4975,4164,3483,4975,4702,4164
5642,5554,4855,5642,5554,3960,5642,5554,5554
2414,2414,1282,2414,2414,2414,2414,2414,2414
711,457,457,711,457,882,457,457,457
1471,1471,1471,1471,1471,2041,1471,1471,1471
2341,2356,2356,2341,2356,2861,2356,2356,2356
563,563,2165,563,563,2622,2165,563,563
692,251,251,692,363,478,478,363,478
1431,1191,1191,1627,1191,1191,1191,1191,1191
1719,1505,1646,1719,1507,1507,1507,1646,1507
553,484,484,553,484,553,484,484,484
3303,3398,3398,3303,3398,3398,3398,3398,3398
782,782,782,3421,782,2397,782,782,782
981,882,882,981,882,1221,981,981,981
1087,812,1074,1170,812,1170,1087,1087,812
954,682,910,954,642,954,642,642,934
1627,1627,1733,1557,1733,2662,1627,1627,1627
424,967,424,424,911,1785,424,424,967
526,422,422,526,422,955,422,422,422
799,545,545,799,545,948,545,545,545
861,770,727,861,727,770,727,727,770
464,464,464,716,464,736,464,464,464
1160,1160,456,512,456,2505,1160,572,1160
450,450,450,450,450,450,450,450,450
1694,1694,1694,1694,1694,2039,1694,1694,1694
319,319,319,319,319,319,319,319,319
878,877,877,877,877,878,878,877,877
1607,1607,1841,1607,1607,2184,1607,1607,1607
476,476,476,476,476,1657,476,476,476
420,420,420,420,420,420,420,420,420
765,765,765,765,765,2334,765,765,765
306,306,306,306,752,974,306,306,306
782,782,782,782,782,1213,782,782,782
594,594,1401,1401,594,2349,594,594,594
828,274,274,274,274,1194,828,274,274
904,904,904,904,904,3163,904,904,904
4064,4064,4064,4064,4064,4363,4064,3917,4123
233,233,233,233,233,233,233,233,233
1038,1038,1038,1038,1050,1315,1038,1038,1038
378,378,378,378,378,378,378,378,378
720,753,753,922,922,1141,720,753,922
308,308,308,308,308,308,308,308,308
1169,776,1169,1169,1169,1814,1169,1169,1169
1515,648,1515,648,1515,1830,1515,648,1515
734,734,734,734,734,827,734,734,734
626,626,626,626,626,788,626,626,626
1643,1643,1643,1643,1643,2370,1643,1643,1643
557,440,440,440,440,1303,557,440,440
546,546,546,546,546,810,546,546,546
2067,2067,2067,2067,2067,5019,2067,2067,2067
1056,1056,1878,1056,1056,2371,1056,1056,1056
809,338,338,338,338,1183,809,302,338
753,753,753,753,753,838,753,753,753
2662,2662,3383,1634,3383,3839,2662,1634,1634
725,725,725,725,725,1160,725,725,725
2947,2947,2947,2124,2947,4064,2124,2947,2947
1371,1371,1371,1371,1371,1372,1371,1371,1371
175,175,175,175,175,438,175,175,175
1450,1450,1450,1450,1450,1450,1450,1450,1450
1132,1215,1132,1132,1132,1217,1132,1132,1132
944,944,944,944,944,1872,944,944,944
216,216,216,456,456,216,216,216,216
281,281,281,281,281,507,278,281,281
465,777,465,465,913,777,465,777,777
867,867,867,867,867,2361,867,867,867
187,187,187,187,187,1107,187,187,187
986,986,719,986,1405,719,719,719,986
1088,1088,1425,1088,1088,3331,1088,1088,1088
742,742,742,742,1024,952,742,742,742
781,781,781,781,781,781,781,781,781
555,555,555,555,555,1082,555,555,555
322,322,322,979,988,1016,979,322,322
463,463,463,463,463,1082,463,463,463
1786,1786,1786,1786,1566,2494,2000,1786,1786
657,657,657,657,895,895,657,657,657
1391,1391,1391,1391,1391,2280,1391,1391,1391
236,236,236,236,236,236,236,236,236
1229,581,581,1229,581,1160,1229,1229,1229
559,559,559,559,559,2053,559,559,559
975,1851,975,975,975,3066,1842,1851,975
1565,1565,1565,1565,1565,2679,1565,1565,1565
3100,3100,3100,3100,3100,3100,3100,3100,3100
1445,1445,1445,1445,1445,1874,1445,1445,1445
256,256,256,256,256,1252,256,256,256
1996,1189,1996,1996,2313,2804,1996,1189,1189
645,645,645,645,645,1572,645,645,645
1208,1208,1208,1208,1208,1294,1208,1208,1208
348,348,1582,348,348,3212,348,348,348
685,804,685,685,685,1290,685,804,685
365,365,365,365,365,545,365,365,496
1661,1661,1661,1661,1661,2288,1953,1661,1661
909,997,909,909,997,1207,909,997,997
3184,3184,3165,3184,3046,3651,3184,3184,3184
919,917,917,919,919,1090,917,919,919
990,990,990,990,990,1272,990,990,990
713,713,713,713,713,976,713,713,713
1120,1120,1120,1341,788,1341,1120,1120,1341
293,1527,1402,293,293,2791,1527,1527,1402
375,375,375,375,375,1143,375,375,375
673,766,673,673,673,688,673,673,673
1155,1777,1155,1155,1155,2351,1777,1777,1155
438,438,438,438,627,1148,438,438,627
834,844,834,834,844,876,497,844,844
626,567,386,626,626,386,386,386,567
788,992,788,788,788,1473,788,992,788
563,563,563,563,1147,1696,563,563,1147
232,232,232,232,232,293,232,232,232
531,531,531,531,531,1133,531,531,531
300,300,300,300,300,300,300,300,300
502,502,502,502,502,502,502,502,502
310,422,310,422,422,537,422,310,422
381,381,381,381,381,1115,381,381,381
317,317,317,317,317,728,317,317,317
599,599,599,599,599,599,599,599,599
242,242,242,242,242,653,242,242,496
1290,1290,1223,1342,1342,1329,1290,1290,1290
617,617,617,617,617,721,903,617,617
1677,1677,1809,1809,1809,2740,1677,1677,1809
21045,21045,21045,21045,21240,21585,21240,21045,21045
165,165,165,165,165,165,165,165,165
3299,3299,3299,3426,3426,3426,3299,3299,3426
507,507,507,943,943,507,507,507,507
262,262,262,262,872,1853,262,262,872
558,558,558,558,558,1321,558,558,558
250,250,250,250,250,250,250,250,250
459,459,459,491,693,664,491,459,459
690,690,690,690,690,712,690,690,690
686,686,1274,686,626,2323,686,686,626
428,428,428,428,428,2019,428,428,428
439,439,439,439,439,979,439,439,439
529,529,529,529,529,841,529,529,529
1531,1531,1531,1531,1531,2943,1531,1531,1531
431,431,431,431,431,431,431,431,431
442,442,442,442,442,1287,442,442,442
1106,852,852,852,852,1263,1106,1106,1106
459,459,459,459,1085,1078,459,459,459
1089,1309,1089,1089,1089,2016,1089,1309,1089
1436,1436,2700,1436,1436,3336,1436,1436,1436
737,737,737,737,737,737,737,737,737
846,846,846,847,847,847,847,846,847
2726,2726,2726,2726,2726,2726,2726,2726,2726
493,493,493,493,493,800,493,493,493
494,494,494,574,733,494,494,494,494
1469,1562,1469,1469,1945,1562,1469,1469,1469
931,765,765,1123,1123,765,765,765,765
8926,8926,8612,9086,9087,8741,8708,8741,8926
253,461,253,461,461,461,461,461,461
293,293,1132,293,293,2237,293,293,293
1334,1155,1155,1155,1155,1261,1334,1334,1334
1596,945,945,1596,1191,1284,945,945,945
925,925,925,925,925,925,925,925,925
1130,1130,1130,1130,909,2500,1130,1130,909
1450,1450,1450,1450,1450,1881,1450,1450,1450
417,417,417,417,417,1326,417,417,417
988,1167,988,988,988,1938,988,1167,988
379,379,379,379,379,831,564,379,379
473,473,473,473,990,1734,473,473,473
3002,3002,3002,3002,3002,3002,3002,3002,3002
1093,1093,1364,715,1093,2305,715,1093,1093
231,231,231,231,231,311,231,231,231
1397,1397,1397,1397,1397,1972,1397,1397,1397
202,202,202,202,202,577,202,202,202
374,374,374,374,374,681,374,374,374
1032,1032,1032,1032,1032,1138,1032,1032,1032
796,627,627,796,796,796,796,796,796
262,262,262,262,262,516,262,262,262
1039,1237,1039,1237,1237,1237,1237,1039,1237
1198,1198,1198,1261,1261,1198,1198,1198,1198
2727,2727,2961,2139,2727,4072,2139,2727,2727
470,269,269,499,499,269,269,269,269
486,486,486,486,486,1160,486,486,486
519,519,519,519,519,1175,519,519,519
1728,1616,1616,1728,2169,1843,1616,1616,1616
618,839,618,618,618,1317,618,839,618
1550,1583,1188,1639,1528,1396,1550,1550,1550
2267,2267,1890,2267,1890,2267,1890,1890,1890
730,730,730,730,1211,1211,730,730,730
868,868,868,868,868,1308,868,868,868
741,741,741,1958,932,1148,667,741,932
1822,1724,1141,1724,1724,1545,1822,1545,1141
1704,789,886,1704,789,775,886,886,1185
1492,852,813,1651,1290,899,896,813,1290
1342,1342,774,1816,1679,1127,1264,1346,1549
1154,407,1024,1154,1154,898,407,407,407
1519,1161,685,2122,1262,778,1364,1161,1519
1107,1107,1107,2061,2061,1107,2061,2061,1107
1085,1872,1085,2623,1085,990,1085,1085,1085
2050,1962,1962,3149,2050,452,2050,1962,1660
728,728,728,2343,728,2343,728,728,728
243,243,243,243,243,243,243,243,243
619,527,527,527,527,494,527,1033,527
558,558,558,701,558,2355,1146,558,558
884,884,884,884,884,1747,884,884,884
250,250,250,250,250,250,250,250,250
518,518,518,518,518,744,518,518,518
295,295,295,295,295,295,295,295,295
1638,1638,1638,2118,1664,2527,1638,1638,1638
1278,680,1278,1278,1278,1542,1278,715,866
439,439,439,439,439,488,488,439,439
1534,1413,1413,1585,1534,1585,1413,1413,1534
776,776,776,776,776,776,776,776,776
177,177,177,177,177,945,177,177,177
316,316,316,316,316,316,316,316,316
385,385,385,726,726,964,385,385,726
938,583,583,583,653,922,583,583,583
1401,1357,1357,1357,1357,1450,1357,1357,1357
625,513,513,513,513,740,625,513,513
1041,1041,979,1113,1113,1266,979,979,1193
560,560,560,560,560,1423,560,560,560
930,455,455,455,455,930,455,455,455
866,1275,1275,1343,1098,1430,1275,1275,1098
1601,1189,1433,1452,1433,1452,1452,1433,1452
7655,7016,7016,7487,7191,7191,7191,7191,7191
768,853,853,924,853,853,853,853,924
3453,2867,2867,3453,2929,2867,2867,2929,3453
484,484,484,484,484,1665,484,484,484
728,591,591,944,845,944,591,845,845
1187,1187,1187,686,1187,1930,686,686,1187
976,976,976,976,976,1581,1095,1095,976
1110,1110,1110,1110,1110,1632,1110,1110,1110
535,535,535,535,535,2478,535,535,535
642,453,453,1051,453,306,642,453,453
109,290,109,109,290,109,109,109,109
998,998,998,998,998,943,943,998,943
1712,1184,1184,1595,1712,1712,1184,1129,1184
901,473,647,901,647,1002,647,473,647
759,759,759,759,759,938,759,759,759
482,482,482,482,482,461,482,482,482
547,547,547,547,547,547,547,547,547
390,335,335,390,390,335,335,390,335
642,642,642,642,650,989,642,642,642
593,593,593,593,593,932,593,593,593
818,818,818,818,818,818,818,818,818
746,746,746,1014,1014,1166,1014,1014,746
461,461,461,461,461,461,461,461,461
435,1110,1110,435,435,1784,1110,1110,435
854,854,854,854,854,1152,854,854,854
433,433,433,433,433,1107,433,433,774
752,752,708,752,752,801,752,752,752
560,560,560,560,560,856,560,560,560
667,667,667,667,759,884,667,667,667
1740,1740,1740,1740,1740,2749,1740,1740,1740
799,799,799,799,808,1660,799,799,799
663,663,663,663,663,663,663,663,663
756,756,756,756,756,756,756,756,756
504,504,464,504,464,776,464,464,504
869,869,869,869,869,869,869,869,869
490,490,490,831,831,1164,490,490,831
236,236,236,236,236,236,236,236,236
1745,1745,1745,1745,1999,2220,1745,1999,1999
808,808,808,808,808,1722,808,808,808
744,744,744,744,744,628,744,744,744
336,566,336,336,336,1245,336,566,336
1577,1577,1577,1577,1542,2196,1577,1577,1577
1196,1196,1183,1196,1196,1404,1404,1196,1196
521,641,521,521,641,690,521,521,641
501,501,501,501,501,626,501,501,661
709,709,709,709,709,2648,709,709,709
497,497,497,497,497,3455,497,497,497
347,347,347,347,587,347,347,347,347
960,960,960,960,960,1600,960,960,960
1184,1184,1184,1184,1184,2854,1184,1184,1184
465,465,465,465,480,1069,465,465,480
1452,1271,1271,1511,1610,1271,1271,1271,1271
262,262,262,262,262,576,262,262,262
366,366,366,366,366,1463,366,366,366
249,310,249,310,310,310,249,249,249
868,1527,1527,1527,868,2101,868,1527,1527
753,753,2361,753,753,3461,1538,753,753
376,376,376,557,376,376,376,376,376
1078,1078,1078,1078,1078,1489,1078,1078,1078
1041,935,935,1041,1041,1041,1041,935,935
1398,1398,1398,1398,1398,2498,1398,1398,1398
271,271,271,271,1000,1574,271,271,271
1115,1115,1115,1115,1115,1542,1115,1115,1115
815,868,601,815,868,601,601,601,815
427,427,187,427,618,187,187,427,427
377,377,377,377,377,1087,377,377,377
577,577,604,577,577,698,604,604,577
1682,1682,1682,1682,1682,2868,1682,1682,1682
596,596,596,596,600,690,596,596,596
1061,1062,936,1062,1110,1110,936,1061,1062
1528,1572,1528,1574,1574,1574,1489,1574,1574
1296,1296,1235,1235,1849,1296,1235,1296,1296
707,707,707,707,707,2365,707,707,707
593,593,593,593,593,1102,593,593,593
2836,2836,2836,2836,3084,3008,2836,2836,3084
449,449,449,449,449,879,449,449,449
255,255,255,255,665,997,255,255,255
681,681,681,722,681,856,681,681,681
564,564,564,564,564,685,578,564,564
731,731,731,731,741,859,731,731,731
1290,1290,1290,1637,1682,1434,1290,1290,1290
654,771,771,799,840,771,424,424,654
266,266,266,266,1086,1440,266,266,266
1733,1733,1733,1733,1733,1733,1733,1733,1733
436,436,436,484,436,485,484,436,436
