UniformRandom,Uniform,GA (1 year),PopulationProportionate,MA,SLS,GA (1 week),AllCityCenter,Random
192,192,192,192,295,192,192,826,192
449,449,449,449,449,449,449,449,449
855,855,855,855,855,855,855,1508,855
1060,1060,1060,1060,1060,1060,1060,1535,1060
616,616,837,616,616,616,837,1495,616
1881,1881,1881,1881,1881,1768,1881,2259,1881
339,434,339,339,339,339,339,434,434
933,933,933,933,933,933,933,1340,933
728,728,728,728,738,728,728,738,738
1838,1581,1581,1380,1380,1581,1581,2143,1838
1455,1897,1558,1897,1558,1401,1558,1897,1455
481,692,462,218,481,481,218,481,218
1282,1526,737,737,737,737,737,737,737
500,500,500,500,1229,500,500,1803,1229
2211,2211,1747,1928,2183,1747,1928,1747,2086
1154,1355,684,684,684,684,643,684,684
1055,1468,552,552,552,292,552,292,552
3799,3799,3799,3799,3799,3799,3799,3618,3799
3574,3574,3574,3342,3574,3342,3574,3574,3342
2159,3013,1114,817,1472,1317,1317,731,1114
2808,2808,1954,908,1954,1954,1954,1039,1484
914,914,914,886,914,914,914,914,914
677,677,677,677,677,677,677,677,677
784,784,784,784,784,784,784,784,784
1091,1109,962,1375,1195,1109,962,1408,1408
843,530,621,621,621,650,621,635,698
1071,990,1003,793,882,882,793,882,1460
2274,2394,2402,2394,2063,2402,2063,2394,2274
434,434,318,318,318,318,318,550,318
1677,1677,1842,1170,1170,1842,1660,1660,1677
2301,2301,2243,2243,1873,2131,2130,1996,2301
1653,1505,1653,1505,1653,1653,1653,1488,1653
2750,2475,1362,1362,1362,1362,1362,4039,1362
2083,2083,2083,2083,2813,2083,2083,3387,2813
674,674,830,891,830,830,830,996,951
2743,3035,2252,2252,2252,2192,2252,2192,2504
2059,2059,2047,2059,2059,2059,2047,2059,2059
5755,5755,5658,5658,5795,5319,5795,5319,5755
359,359,359,359,359,359,359,825,825
684,684,684,684,684,684,684,684,684
816,860,741,741,528,528,741,528,895
721,1295,532,721,721,721,721,1286,1438
2017,2017,1844,1844,2017,1572,1844,1770,2017
3255,2956,3255,3255,3255,3158,3255,2819,3478
1680,1680,1415,1415,1680,1044,1415,1044,1680
1623,1623,1623,1623,227,1623,1623,1623,1623
3368,4930,3138,3368,2571,3109,3368,2571,3368
1136,1136,1136,1136,1136,1136,1136,1136,1136
1022,895,1022,895,1022,627,1022,944,1022
3152,3152,3152,3152,3152,3152,3152,3152,3152
1256,1256,1256,1128,1256,1369,1256,1198,1256
4144,4144,4699,4144,4144,4144,4144,4699,4699
3207,2634,3025,2845,2634,918,2845,2634,2845
817,628,628,809,809,809,817,1490,628
761,761,707,707,833,707,707,761,707
1274,385,385,385,1223,1223,1223,1733,385
1014,1103,1417,1014,1014,1296,1444,1588,1103
190,190,190,190,190,190,190,453,320
346,346,346,346,346,346,346,346,346
1693,1585,1427,1693,1693,2025,2012,2290,1693
1368,1368,1368,1368,1368,1368,1368,2993,1368
888,888,981,932,981,981,932,965,981
1008,597,597,597,597,927,597,798,927
1789,1789,1605,1789,1904,1789,1789,2307,1863
1286,1375,975,1286,1286,1375,1286,1860,1286
542,749,660,743,769,749,660,654,749
729,729,1405,1405,729,1405,1405,2078,729
986,843,843,843,986,843,728,1705,843
1013,1013,1013,1013,1013,1013,1013,1013,1013
2248,2063,2063,2063,2063,2063,2063,3092,2248
669,669,615,615,669,615,615,615,669
1553,1313,1494,1358,1313,1313,1358,1313,1358
881,980,720,1005,720,968,720,1107,980
1035,1035,1035,1035,1035,1035,1035,1035,1035
1338,1338,2013,2355,1338,2013,2095,2687,2013
613,613,613,744,613,613,744,882,613
473,473,473,473,473,473,473,473,473
495,827,827,827,495,827,827,1301,827
536,536,536,536,536,536,536,536,536
671,671,891,671,671,891,671,1598,671
529,529,529,529,529,529,529,1710,529
521,521,468,468,468,468,521,468,521
1388,1388,1388,1388,1388,1388,1388,1388,1388
717,717,717,717,717,717,717,766,717
407,407,407,407,407,407,407,835,407
1510,1510,1510,1510,1510,1510,1510,1510,1510
455,455,455,455,455,455,455,2421,455
711,711,711,711,711,711,711,847,711
611,611,611,611,611,611,611,3588,611
458,458,458,458,458,458,458,721,458
646,646,646,646,646,646,646,740,646
1966,1941,1966,3082,1966,1966,1966,3122,960
442,442,442,442,442,489,442,489,442
520,520,520,520,638,520,520,1076,520
261,261,261,261,261,261,261,261,261
1755,1755,2098,2098,1755,1755,1755,2098,2098
613,621,613,930,613,613,613,1427,930
1120,844,1137,844,1120,1120,1120,1024,844
553,553,774,553,553,774,553,1467,553
1082,1000,1082,818,1082,1082,1082,1918,1259
295,295,295,295,295,295,295,297,295
889,442,889,1470,889,889,889,1894,1470
324,324,324,324,324,324,324,324,324
2254,2254,2254,3884,2254,3884,2254,3884,2254
447,447,447,447,447,447,447,792,447
844,844,844,1825,844,1825,844,3729,1825
1484,1484,1484,1484,1538,1484,1484,2347,1538
600,600,623,623,1153,600,623,1462,623
321,321,321,1740,1283,321,321,1390,1330
641,641,641,641,641,623,641,905,641
138,138,138,138,138,138,138,1233,138
336,336,1635,1352,336,1635,1635,3025,336
667,667,667,667,667,667,667,1409,667
1572,1572,2061,3362,1865,3252,2061,3771,1572
1604,1604,1604,1604,1604,1604,1604,1616,1604
500,500,500,500,500,500,500,500,500
1264,1264,1264,1264,1264,1264,1264,1297,1264
473,473,473,473,473,473,473,554,473
509,509,509,509,763,509,509,984,509
406,406,406,406,406,406,406,455,406
291,291,291,291,291,291,291,690,291
424,424,424,424,424,424,424,1431,424
675,675,675,675,675,675,675,868,675
430,430,430,430,430,556,430,989,556
626,626,626,509,626,509,509,912,626
606,606,606,606,606,606,606,1541,606
256,416,256,256,416,416,416,416,416
1885,1885,1885,1885,1885,1885,1885,1885,1885
652,684,652,684,652,684,652,935,684
417,657,417,356,417,417,417,417,657
924,924,924,924,924,924,924,1578,924
694,694,694,694,694,694,694,3588,694
1083,1706,2279,1706,1706,1083,1794,2279,1706
