PopulationProportionate,UniformRandom,Uniform,GA (1 week),GA (1 year),Random,AllCityCenter,MA,SLS
839,839,839,946,946,839,1170,839,946
1065,1065,1065,1065,1157,1065,1283,1157,1157
419,419,419,419,840,419,1333,840,840
826,1079,1317,1079,1079,826,1084,1079,1079
995,1329,1329,368,995,368,1217,995,995
954,954,954,1047,998,1109,1047,954,954
516,917,917,516,516,917,516,516,516
1169,331,331,331,331,331,1981,331,331
212,212,393,212,212,393,212,212,212
2404,2365,2437,2437,2437,2437,2437,2404,2365
574,619,619,574,574,574,619,574,619
1780,1688,1819,1420,1420,1420,1639,1420,1420
1749,1930,2180,1749,1749,2180,1749,1749,1749
734,734,734,734,734,734,734,734,734
1360,1303,1375,1303,1303,1375,1375,1303,1360
356,356,356,356,450,356,555,356,356
388,388,388,388,388,388,944,388,388
1654,1654,1654,1654,1654,1654,3348,1654,1654
2209,2522,2522,2209,2209,2209,2628,2209,2522
476,476,476,476,476,476,1146,476,476
527,529,579,527,527,527,529,529,527
264,264,264,492,485,264,1148,485,485
403,403,403,403,403,403,667,403,403
606,606,606,606,606,606,1380,606,606
590,590,590,620,590,731,916,590,590
839,832,839,839,839,839,1122,832,783
341,341,341,341,341,341,341,341,341
555,555,555,868,555,555,512,555,868
652,652,652,652,652,1231,1280,652,652
733,733,788,733,733,788,733,733,733
697,697,697,697,697,776,698,697,697
805,805,805,805,805,1440,2026,805,805
695,778,695,695,695,908,922,778,555
1966,1966,1966,1966,1966,3091,3721,1966,1966
841,1085,1085,1085,841,1401,1104,841,1104
873,939,1012,874,874,1012,874,874,874
514,514,674,514,514,674,536,514,514
690,690,690,690,690,690,1286,690,990
641,641,641,641,641,641,2076,641,641
648,648,648,740,648,788,788,648,648
463,463,463,463,463,463,1068,463,463
517,517,517,517,517,517,517,517,517
784,784,784,784,784,784,644,784,784
554,554,626,554,554,626,626,554,554
699,833,1001,833,658,1050,833,658,658
786,786,786,786,786,976,1013,786,786
1140,1140,1140,1140,1140,1140,2003,1140,1140
1438,1504,1517,1439,1439,1619,1439,1439,1439
161,161,342,161,161,342,161,161,161
291,531,531,463,531,529,291,531,531
472,472,472,472,472,472,410,472,472
329,559,329,329,329,329,329,329,329
2539,2539,3068,2539,2539,2539,2933,2539,2690
871,919,919,871,900,919,670,871,900
402,402,402,402,402,402,402,402,402
708,708,708,708,708,708,1905,708,708
1567,1567,1567,1567,1567,1567,1567,1567,1567
351,351,351,351,351,351,351,351,351
1105,1173,1173,1105,1105,1105,1173,1105,1105
2088,2088,2268,2088,2088,2268,2149,2088,2088
2249,2249,2249,2249,2249,2405,2326,2249,2249
482,783,1096,783,662,1096,543,482,543
2009,2424,2424,2263,2263,2424,2078,2263,2009
837,837,837,837,837,837,2286,837,837
1029,1029,1029,1029,1029,1029,1603,1029,1416
487,902,405,487,487,405,487,487,487
167,283,283,283,167,283,167,167,167
612,612,612,612,612,612,1618,612,612
599,1025,1025,599,599,1025,1088,599,1025
358,1170,1464,1170,1170,1169,833,1169,987
1693,871,771,871,871,1693,2837,771,871
893,893,1482,893,893,1482,1404,893,893
398,398,398,398,398,398,398,398,398
938,938,932,938,938,945,1201,938,938
358,358,358,358,358,358,3293,358,358
291,813,813,813,813,291,1241,813,813
705,705,705,705,705,705,1067,705,764
433,746,746,746,746,746,674,433,774
844,844,873,844,844,873,1183,844,844
257,257,257,257,257,501,520,257,257
3652,2646,2646,2646,2646,2646,5531,2646,3627
1797,1797,1797,1797,1797,1797,1762,1797,1797
432,432,432,432,432,432,1704,432,432
208,208,208,208,208,208,208,208,208
378,378,378,378,378,378,1552,378,378
829,829,829,829,829,829,1351,829,829
746,746,746,746,746,746,1383,746,746
530,649,649,649,649,530,1135,530,530
1332,1332,1332,1406,1406,1128,1889,1332,1406
1557,1557,1557,1557,1557,1557,1730,1557,1557
1012,955,955,955,955,955,1021,955,955
1250,1250,1250,1250,1250,1250,1250,1250,1250
209,209,209,209,209,209,209,209,209
480,480,480,480,480,480,1400,480,480
540,540,540,540,540,789,1402,789,540
521,521,521,521,521,521,615,565,521
1552,1552,1552,1552,1552,1552,3610,1552,1552
666,847,847,666,666,847,666,666,666
1374,1374,1374,1379,1379,1379,1223,1379,1374
681,681,681,681,681,681,681,681,549
453,453,453,458,458,458,604,453,630
417,417,892,417,417,657,892,892,892
2048,2048,2288,2048,2048,2048,2048,2048,2048
1790,1790,1886,1790,1790,1790,2904,1790,1790
754,754,754,754,754,754,794,754,754
725,725,725,725,725,818,818,725,725
928,928,928,928,928,928,2782,928,928
576,576,576,638,576,638,865,576,576
324,324,324,324,324,324,362,324,324
1261,1442,1442,1261,1261,1501,1261,1261,1261
1405,1405,1511,1405,1405,1574,1511,1405,1405
269,269,269,269,269,269,800,269,582
945,945,945,945,945,1571,2126,945,945
778,778,778,778,778,778,897,845,897
287,287,848,287,287,848,501,287,287
1047,1053,1067,1047,1047,1148,1028,1047,844
807,807,807,807,807,807,1384,807,1106
933,1200,1200,1200,1336,829,1664,1200,829
167,167,824,167,167,167,909,577,167
725,622,622,622,622,622,2566,622,622
4429,3806,3448,3806,4139,3448,5611,3448,3806
651,447,447,470,447,447,447,447,447
974,974,704,974,704,704,1446,974,704
533,533,533,533,533,533,572,593,593
1481,1085,1675,1085,1085,1085,1992,1085,1085
242,242,242,242,242,242,930,242,678
2146,2371,2300,2300,2364,2146,2364,2364,2364
939,1153,1192,718,939,718,939,939,1192
745,1330,1512,1143,1118,745,1143,1330,1330
423,895,895,1438,1438,1438,449,895,895
821,812,812,821,821,1155,1484,812,821
1654,2364,344,2638,2638,2638,1654,2364,2364
447,760,760,760,760,404,978,852,447
911,911,911,911,911,918,918,911,911
2077,1492,1492,1745,1745,1745,2355,1492,1745
866,566,566,1747,1747,1747,1747,566,1747
1516,1612,1641,1516,1557,1516,1691,1557,1641
790,790,991,790,790,1214,1553,790,790
1909,1909,1909,1909,1909,1656,1948,1656,1656
439,361,395,395,395,395,489,361,361
1649,2550,2509,2619,2619,2619,3038,2655,2619
1512,1410,1478,1512,1512,1512,1650,1512,1512
800,800,865,800,800,800,865,800,865
699,699,1150,699,699,699,699,699,699
533,533,1257,533,533,533,533,533,872
1438,1438,1657,422,1559,979,557,422,1559
1381,1381,1617,1174,1617,1174,1763,1174,3204
2273,3506,3506,2273,2273,2273,2129,3506,1653
3003,3003,3003,3003,3003,3003,3003,3003,2550
2843,2843,2843,2843,2843,2843,2843,2843,3835
3133,3133,3133,3133,3133,3133,3133,3133,3133
1066,1066,1066,1066,1066,1066,1066,1066,1066
894,894,980,894,894,709,1197,894,894
1643,1664,1613,1664,1613,1664,1729,1613,1613
905,1200,695,1200,635,944,889,905,635
863,666,666,863,863,606,1359,854,863
586,586,586,586,586,586,586,586,586
538,512,512,512,512,512,478,512,354
570,795,795,795,996,570,1405,795,996
401,401,401,401,401,401,401,401,401
1678,1678,1678,1678,1678,1678,1967,1678,1678
456,581,456,581,456,456,630,456,456
731,731,731,731,731,731,3503,731,731
434,434,434,434,434,434,1297,434,434
585,585,585,585,585,585,646,585,585
271,515,515,271,515,271,534,515,515
1440,1440,1440,1440,1440,1440,2272,1440,1440
717,717,717,717,717,1340,1914,1310,717
1356,1356,1429,1356,1429,1356,1583,1356,1429
1763,1763,1598,1763,1598,1985,2235,1763,1598
475,475,475,475,475,475,475,475,475
463,463,463,463,463,463,463,463,463
628,628,628,628,628,840,634,628,628
1901,957,957,957,957,957,1901,957,1901
305,305,305,305,305,305,305,305,305
1202,1202,1202,1202,1202,1202,1638,1202,1202
390,783,783,390,390,783,729,390,390
755,755,755,755,755,755,982,755,755
387,401,401,401,387,401,387,387,387
628,788,788,628,685,685,721,685,685
250,490,606,250,250,250,250,250,250
904,460,904,460,460,460,1999,460,460
452,452,452,452,452,1069,1104,452,452
1194,472,472,1194,1194,472,1868,472,1194
1824,600,600,1824,1824,1824,2687,1824,1968
222,222,222,222,222,222,485,222,466
379,379,379,379,379,379,379,379,379
589,589,589,589,589,589,636,589,589
414,414,414,414,414,414,1901,414,414
402,402,402,402,402,402,402,402,402
929,929,929,929,929,929,1192,936,929
558,558,558,558,558,558,2880,558,558
2187,1211,1211,1211,1211,1211,3050,1211,2187
392,392,392,392,392,392,392,392,392
636,636,636,636,636,636,642,636,636
2415,2415,2415,2415,2415,2415,2415,2415,2415
780,780,1026,780,1026,780,1119,780,1026
684,684,684,684,684,684,1157,684,815
325,325,325,325,325,325,608,325,325
1418,1418,1418,1418,1418,1664,1757,1418,1418
876,876,876,876,876,876,876,876,876
829,829,829,829,829,1062,1062,1062,829
1173,1007,1007,1007,1007,1007,1438,1007,1007
525,525,525,525,525,525,1056,525,838
634,634,634,634,634,634,2573,634,634
178,178,178,178,178,588,920,178,588
495,495,495,495,495,495,495,495,495
294,294,294,294,294,294,1597,294,294
704,704,704,704,704,704,866,704,704
318,318,318,318,318,318,657,318,318
540,540,540,540,540,540,669,540,540
480,661,661,480,480,661,480,480,480
525,525,800,525,525,800,631,525,525
285,285,285,285,285,285,991,285,605
839,839,843,839,839,839,930,839,839
783,783,1072,727,727,985,1072,727,727
1187,1187,1187,1232,1187,1187,1549,1187,1187
646,646,646,559,559,646,559,559,559
1354,1354,1354,1354,1354,1354,1466,1354,1354
350,350,350,350,554,350,275,554,350
929,929,929,929,929,929,929,929,929
649,649,649,649,649,483,649,649,649
507,507,522,507,507,507,1348,507,507
1344,1344,1344,1344,1344,1344,1661,1344,1344
868,868,868,868,868,868,869,868,868
390,1098,1098,390,720,1098,999,720,390
730,730,730,730,730,730,2329,730,730
800,800,800,800,800,800,3703,800,800
1465,1465,1465,1465,1465,1465,1602,1465,1465
179,179,179,179,179,592,1041,592,179
532,532,532,532,532,532,1836,532,532
3282,3282,3557,3388,3388,3388,3388,3388,3388
660,660,467,660,660,660,1226,660,467
783,711,711,711,711,711,2706,711,783
2629,2629,735,2629,2629,2629,2629,2629,2629
1048,1048,1048,1048,1048,1048,1048,1048,1048
706,706,706,706,706,706,1054,706,706
1168,938,259,1168,938,938,1324,938,1168
1349,1340,1340,1340,1349,1349,1447,1349,1349
775,775,775,775,775,775,1616,775,775
1047,1047,1047,1047,1047,1047,1200,1047,1047
271,271,271,271,271,271,616,271,271
467,467,467,467,467,697,467,467,467
531,531,531,531,531,554,724,554,531
579,579,579,579,579,579,1653,579,579
660,660,990,660,660,1059,1071,660,660
1448,1448,1448,1448,1448,1448,1448,1448,1448
2024,2024,2024,2130,2024,2299,2130,2024,2024
1054,1349,1482,1349,1349,1349,1208,1349,1349
595,595,595,595,595,595,2194,595,595
2521,2521,2521,2521,2521,2521,2932,2521,2521
476,434,742,476,476,742,553,476,434
1030,1030,1030,1030,1030,1030,1424,1030,1030
1028,1028,1028,1028,1028,1028,1342,1028,1342
1852,1855,1855,1852,1855,1855,2212,1855,1852
465,465,465,465,465,465,465,465,465
874,874,874,874,874,874,1430,874,874
631,631,631,631,631,631,1174,631,631
246,427,486,246,246,427,246,246,246
223,463,562,404,223,463,223,223,223
1660,1660,1660,1800,1660,1660,2027,1660,1660
1034,1034,1034,1034,1034,1034,2886,1034,1034
1094,1094,1094,1094,1094,1094,3963,1094,1094
537,537,537,537,537,537,1048,537,537
627,627,627,627,627,627,627,627,627
484,484,484,484,484,484,484,484,484
1274,1274,1274,1274,1274,1274,1274,1274,1274
501,501,501,602,501,501,602,501,501
1458,1422,955,1422,1422,955,1349,1458,1422
818,1166,1607,1166,890,1166,818,890,818
951,951,951,951,951,951,1676,951,951
1674,1674,1674,1674,1674,1674,1674,1674,1674
1173,1173,1173,1173,1173,1173,1173,1173,1173
3984,3984,3984,3984,3984,4669,5165,3984,3984
1644,1644,1678,1722,1644,1644,1709,1644,1644
536,536,536,536,536,536,1210,536,536
651,529,529,651,529,529,1227,529,992
878,878,878,878,878,878,878,878,878
1187,1187,1187,522,1120,1187,1191,1120,1120
2765,512,512,512,512,512,3294,512,2765
603,603,744,603,603,744,663,603,603
204,204,204,204,204,204,204,204,204
354,354,354,354,354,354,354,354,354
912,772,772,772,772,772,895,912,772
589,589,589,589,589,589,589,589,589
928,928,928,928,928,928,1244,928,928
254,254,254,254,254,254,256,254,254
2108,2108,2108,2108,2108,2108,2108,2108,2108
757,559,559,559,559,559,1041,609,757
680,644,1134,644,644,1196,1516,644,644
864,889,889,889,864,889,890,864,864
336,336,336,336,336,570,619,336,336
540,540,540,540,540,950,1061,540,950
337,337,337,337,337,337,984,337,509
1315,1315,1315,1315,1315,1315,2152,1315,1315
966,966,1007,966,966,1605,1141,966,966
353,353,353,353,353,353,353,353,353
414,414,414,414,414,551,1153,414,414
1058,1058,1058,1058,1058,1058,2725,1058,1058
1586,1586,1586,1586,1586,1586,2016,1586,1586
456,637,637,456,456,795,456,456,456
346,767,767,346,346,767,821,346,346
803,1123,1123,1123,803,1123,1346,1123,1123
1316,1760,1760,1760,1760,1760,1760,1760,1760
408,486,486,486,740,408,735,740,486
188,369,527,369,369,445,188,369,369
823,823,823,823,823,823,3287,823,823
929,659,659,659,659,480,1753,480,659
1750,1629,1173,1750,1750,1629,1750,1173,1750
1016,486,486,980,980,1016,1422,486,980
726,726,726,726,726,726,1137,726,726
2694,2694,2694,2717,2694,2694,3594,2694,2694
1928,1928,1928,1928,1928,1928,2005,1928,1928
355,355,355,355,355,992,1074,355,355
967,967,967,967,967,967,2427,967,967
378,378,378,378,378,378,378,378,378
349,550,349,349,349,550,349,349,349
733,733,733,733,733,801,1702,733,733
354,535,535,354,354,535,354,354,354
999,999,999,999,999,994,975,999,999
159,159,159,159,159,159,534,159,534
418,418,418,418,418,418,418,418,418
773,773,773,773,773,773,1351,773,1307
437,437,437,437,437,437,404,437,437
285,285,285,285,285,285,512,285,285
798,655,655,655,655,655,2235,655,798
226,226,226,226,226,226,226,226,226
536,1106,1113,1106,1113,951,797,536,536
380,380,380,380,380,1040,1614,1040,380
268,268,268,268,268,885,954,268,268
306,306,306,306,306,306,353,306,306
1618,1618,1584,1618,1584,1618,3064,1618,1618
557,557,557,557,557,557,1398,557,557
871,871,871,871,871,871,2387,871,871
362,362,362,362,362,362,362,362,362
513,513,513,513,513,513,688,513,513
563,563,563,563,563,563,612,563,611
522,522,522,522,726,522,1283,522,726
393,573,573,393,454,393,454,454,454
963,995,963,963,963,963,995,963,963
252,805,252,252,252,252,789,252,805
893,893,916,916,1136,893,1063,893,1136
505,1078,882,505,882,505,882,505,882
395,395,395,395,395,395,395,395,395
1096,1096,1096,1096,1096,1096,2721,1096,1096
588,908,1215,908,908,588,1024,1215,908
421,421,421,421,421,769,1325,421,421
376,376,376,376,444,376,1215,376,444
1410,1410,2030,1410,1721,1410,1382,1410,1410
1442,1442,1783,1442,1442,1442,1783,1783,1442
585,585,585,585,585,585,2079,585,585
734,734,734,734,734,734,1259,734,734
791,791,791,791,791,791,1418,791,791
522,756,756,554,554,756,805,756,554
6493,6516,7123,6493,6493,7123,7133,6516,6516
2305,1682,1966,1682,1682,1682,2795,1682,1682
2623,2623,2623,2673,2540,2623,2722,2623,2623
485,485,485,485,485,511,1151,485,485
451,451,451,451,451,451,451,451,451
1236,1236,1236,1236,1236,1236,1342,1236,1236
267,468,468,267,267,267,267,267,267
1047,1072,449,1072,1047,1047,1203,449,1072
2444,2444,2444,2444,2444,2444,2527,2444,1664
1996,1996,2422,1996,1822,1996,2313,1822,1505
441,441,441,441,441,441,1068,441,441
1305,1259,1259,1258,1305,1259,1237,1259,1305
1507,1743,1743,1507,1507,1546,1198,1507,1198
883,1364,1364,883,883,883,1591,883,883
1746,2297,2297,1746,1746,2080,1390,1826,1630
984,1243,1377,1243,1377,984,864,1243,745
1019,1019,1019,1019,1019,1019,932,1019,1019
1471,1471,1471,1132,1471,1471,1471,1132,893
392,392,392,392,392,392,392,392,392
1317,1317,1317,1317,1317,1317,1318,1317,1318
367,403,367,367,367,367,877,367,367
652,652,652,652,652,652,652,652,652
