PopulationProportionate,UniformRandom,Uniform,GA (1 week),GA (1 year),Random,AllCityCenter,MA,SLS
253,253,253,253,253,253,941,253,253
381,381,381,434,381,381,381,381,381
744,744,1022,1022,1022,744,1505,744,1022
758,758,1324,1324,758,1042,1616,1552,1324
412,1039,1261,1039,1261,1039,1203,412,412
393,393,393,393,393,393,454,454,454
516,638,841,411,516,411,638,638,638
454,454,964,454,454,454,1128,810,454
1171,2906,3068,2251,2363,1260,1745,2566,2566
592,971,971,592,592,985,971,971,985
8043,8689,8689,8689,8689,8311,8473,8689,8689
634,634,634,634,634,634,634,634,634
563,635,635,635,635,635,635,635,635
1285,1077,789,1285,1285,1706,1550,1285,1285
517,711,370,1044,711,572,1044,711,711
1260,1143,1143,1143,1260,1260,1652,1143,1260
652,531,652,531,531,531,1244,531,531
1920,1920,1920,1920,1920,1920,1992,1920,1992
484,484,484,484,484,484,484,484,484
716,716,716,716,716,716,2201,716,716
281,281,281,281,281,281,281,281,281
1086,1086,1086,1086,1086,1190,2963,1086,1190
592,592,592,592,592,592,592,592,592
415,415,415,415,415,415,2666,415,415
488,1081,1037,668,1094,488,549,1077,668
688,1442,1148,1148,1145,1148,785,1148,1134
2787,1296,1296,1296,1819,1296,3756,1296,2787
1153,1153,1153,1153,1153,1153,1153,1153,1153
1124,1243,1314,1124,1124,1414,1407,1124,1124
799,799,799,799,799,799,793,799,799
1563,1287,1563,1287,1189,1287,1351,1287,1189
1039,1083,1381,1346,1215,1381,1381,1039,1039
772,1204,868,772,868,772,901,772,868
1805,1812,1812,1805,1805,2357,2151,2151,696
2198,2977,2815,2198,2017,2719,2017,2977,2017
1104,1104,1104,1104,1104,1104,925,1104,1068
1966,2052,2707,2052,1966,2028,1966,2349,1966
1688,1947,1947,1947,1688,1841,1211,1947,1211
3012,3813,4080,3560,3560,3813,2215,3423,3560
769,3090,3949,811,811,3118,769,811,811
1352,1249,887,1200,1352,1222,1249,1249,1249
723,723,723,724,723,724,724,723,723
887,1142,1142,1004,1142,545,1142,1142,1004
1154,1797,2286,2095,1797,1154,1861,2095,1154
1422,2089,2089,2089,2089,1113,1422,2089,1422
1217,2471,2471,2060,2060,2471,391,2060,2060
849,972,1029,849,619,1073,619,972,619
1583,2350,2350,2350,1583,2350,1077,2350,2437
263,263,263,263,263,263,263,263,263
741,741,741,741,741,741,741,741,741
594,516,619,594,594,581,619,516,594
1276,1276,1276,1276,1390,1276,1651,1276,1587
793,793,641,793,793,793,793,641,793
229,229,229,229,229,229,229,229,229
365,409,409,409,409,757,1175,409,872
425,364,364,364,364,425,425,364,364
248,248,248,248,248,248,248,248,248
467,467,467,490,1020,467,1329,790,1020
868,820,896,980,980,820,1120,1202,1037
438,438,438,438,438,438,438,438,438
570,656,656,570,656,570,340,570,656
1361,2119,1205,1461,1611,1173,1361,1461,1611
537,537,537,537,537,537,2231,537,537
1148,1148,1148,1148,1148,1148,1148,1148,1148
2395,1559,534,1496,1559,1496,2500,1496,1496
334,334,334,334,334,530,627,334,334
248,248,497,248,248,248,248,248,248
242,242,491,472,677,443,242,472,242
554,913,712,554,913,554,373,809,373
854,854,922,855,922,855,1163,854,855
1138,1138,1139,1139,1204,1204,1139,1510,1204
532,532,532,532,532,532,477,532,532
1681,1846,1787,1743,1643,1879,1606,1743,1643
677,677,677,677,677,677,677,677,677
858,858,1019,1039,895,1039,858,1039,858
565,565,795,565,565,565,768,565,661
1635,1635,1635,1635,1635,1635,3220,1635,1635
806,806,833,806,806,806,695,806,806
1018,1018,1018,1018,1018,1018,1482,1018,1018
1386,1386,1386,1386,1386,1570,2486,1386,1386
2539,436,436,436,436,436,3320,436,2544
507,507,541,507,541,507,634,507,541
631,631,631,631,631,631,631,631,631
486,611,486,611,486,486,660,486,486
543,543,543,543,543,543,846,543,543
5084,5084,5084,5084,5084,5084,5729,5495,5084
1047,1047,1047,1047,1047,1047,2434,1047,1047
528,528,528,528,647,528,1133,528,647
531,531,761,761,883,531,1376,531,883
399,399,399,399,399,399,3076,399,399
674,674,674,674,674,674,2267,674,674
1115,1115,1115,1115,1115,1115,1115,1115,1115
316,316,511,316,316,511,723,511,316
374,422,422,374,374,374,423,374,374
834,893,893,834,893,893,653,893,653
557,557,557,557,557,557,1420,557,850
406,587,646,406,406,646,406,406,406
1869,1869,1869,1869,1869,1937,2759,1937,1869
720,720,720,720,720,720,893,720,720
858,858,1074,858,858,1074,860,858,858
1181,1362,1362,1181,1181,1520,1181,1181,1181
2094,2275,2433,2334,2275,2796,2094,2275,2094
1581,1581,1581,1581,1581,1635,2335,1635,1581
424,772,551,424,424,551,772,772,424
484,484,484,484,484,484,484,484,484
403,403,696,403,403,696,696,403,403
672,672,672,672,672,672,970,672,672
1475,1475,1475,1475,1475,1475,2338,1475,1475
486,486,486,708,486,486,556,486,486
387,387,387,387,387,387,805,387,619
962,962,962,962,962,962,963,962,962
481,481,481,481,481,481,1339,481,481
1318,1318,1318,1318,1318,1318,1641,1318,1318
603,603,603,603,603,603,1703,603,603
934,934,934,934,934,934,2131,934,934
522,522,522,743,743,522,1436,522,522
438,438,438,438,438,438,655,438,438
1018,1018,1018,1111,1062,1062,1111,1062,1018
969,969,969,969,969,969,1399,969,969
602,602,602,602,602,602,602,602,602
688,1202,1442,688,780,688,905,780,780
740,1258,1258,740,740,827,1037,740,1037
656,656,656,656,656,1209,2116,656,656
3034,3131,3131,3050,3050,3131,2829,3050,2991
382,382,382,382,382,382,368,382,382
1814,1814,1814,1814,1814,1814,3714,1814,1814
701,701,701,701,701,701,3652,701,701
738,738,738,738,738,738,1354,649,649
1031,1031,1031,1031,1031,1031,1449,1031,1031
1903,2156,2714,1903,2156,2156,2378,2156,1903
1107,1246,1246,1107,1173,1246,1108,1173,1107
453,328,328,453,453,328,1724,453,328
2073,2073,2486,2073,2073,2073,2306,2073,2486
1199,1199,1199,1199,1199,1199,1501,1199,1199
1364,1364,1364,1364,1364,1364,1965,1364,1364
520,520,520,520,520,520,1281,520,520
1293,1880,1971,1293,1654,1293,1675,1654,1654
2706,2706,2706,2706,2706,2706,2706,2706,2706
370,542,370,370,237,370,1017,237,689
4174,4286,4648,4401,4401,4174,4401,4401,4401
137,400,400,400,400,400,400,400,137
416,416,416,416,416,1169,1990,416,416
919,919,1694,919,919,827,1044,919,919
1241,1106,1106,1106,1106,1106,3164,1106,1241
2604,1765,1765,1765,1765,1765,3709,1765,1765
911,911,929,911,911,929,1104,929,911
1109,1113,1113,1113,1109,1113,1374,1109,551
1546,651,651,651,651,1546,1822,992,651
1296,1559,1296,1296,1296,1540,1559,1296,1296
436,436,436,436,436,436,436,436,436
1057,1057,1057,1057,1057,1057,1186,1057,1057
966,966,966,966,966,966,1297,966,1073
232,232,232,476,232,232,495,232,232
1876,1965,1965,1876,1876,1955,1876,1876,1876
395,395,395,395,395,395,920,395,395
2244,2244,2244,2244,2244,2244,5179,2244,2244
1851,1851,1263,1851,1851,1851,3196,1851,1851
6602,6301,6301,6301,6570,6301,6252,6570,6320
997,997,997,997,997,1103,1103,997,997
301,301,301,301,301,502,301,301,301
1249,995,995,995,1338,995,2432,1338,995
1050,1251,1299,1050,1050,1299,1050,1050,1050
1160,1160,1160,1160,1160,1160,2830,1160,1160
753,753,753,753,753,753,1062,753,753
1836,1836,1837,1836,1836,1836,1837,1836,1837
635,635,983,635,635,635,635,635,635
1477,1016,1016,1016,1016,1016,1820,1016,655
669,669,669,669,669,669,894,669,669
3936,1777,1777,1777,1777,1777,4712,1777,1777
263,263,263,324,263,263,324,263,263
882,882,1281,882,882,882,1595,882,882
3867,3867,3867,3867,3867,3867,4876,3867,3867
483,483,483,483,483,483,483,483,483
343,343,343,343,343,343,818,343,343
602,602,602,602,602,602,844,602,602
682,682,682,682,682,823,682,682,682
398,398,398,398,398,398,558,398,398
438,438,438,438,438,438,438,438,438
570,570,570,570,570,570,1119,570,570
695,695,695,695,695,695,1574,695,695
685,685,685,685,685,685,1871,685,685
715,715,715,715,715,715,1506,715,1077
776,776,707,721,721,776,1055,721,721
634,634,634,634,634,634,1225,634,634
120,120,120,120,120,120,1516,120,120
414,414,414,414,414,414,414,414,414
2586,2526,2526,2526,2586,2526,3311,2586,2586
826,826,826,826,826,826,1130,826,826
331,331,742,331,331,742,742,742,331
988,1462,1462,1048,1302,1462,1117,1302,988
415,709,673,709,415,673,476,415,415
496,859,859,496,496,859,382,859,496
513,694,694,513,513,694,513,513,513
446,446,446,446,446,562,272,446,391
507,507,507,507,507,507,1435,507,507
1368,1368,1368,1368,1368,1368,2832,1368,1368
467,467,467,467,467,467,736,467,467
453,453,501,453,453,502,502,453,501
364,364,364,364,364,364,245,364,364
445,445,445,874,445,445,1322,445,917
412,412,412,412,412,504,412,412,412
1718,1718,1718,1718,1718,1718,2581,1718,1718
680,680,680,680,680,680,933,680,680
792,792,792,792,792,792,1055,792,792
812,812,812,812,812,812,2090,812,812
470,651,651,470,470,710,470,470,470
1838,1838,1838,1838,1838,1838,2710,1838,1838
1168,1168,1168,1168,1168,1168,1254,1168,1168
1233,645,645,645,645,1233,2578,1233,645
366,366,366,492,366,366,540,366,366
3935,3935,3935,3935,3935,4567,5058,3935,3935
1247,1247,408,1247,1247,1247,2276,1247,408
1291,1291,1246,1291,1291,1630,2071,1630,1291
6314,6314,6112,6314,6314,6314,6975,6314,6112
538,538,538,538,538,538,610,538,538
2945,2945,2945,2945,2945,2945,3094,2945,2945
850,850,850,875,875,876,876,875,850
1026,1105,1105,1105,1027,1379,1027,1027,1027
604,725,725,604,604,725,484,725,604
4180,2093,2093,2093,2093,2093,4354,2093,2093
2000,2000,2000,1487,1487,2000,2055,1487,2000
491,491,890,491,491,890,1204,491,491
1706,1133,1847,1706,1706,1847,2032,1133,1706
2791,1706,1133,1133,1133,1133,3084,1706,1133
397,828,828,637,637,828,397,637,397
837,837,837,836,837,836,837,837,837
1093,1319,692,706,1093,692,692,1127,692
651,651,1158,651,442,442,990,442,651
1528,1119,1693,1119,1528,1693,1792,1119,1119
517,517,738,738,738,370,738,738,517
912,912,912,912,912,1535,2109,1535,912
925,1312,1417,925,925,535,535,1417,746
1243,1409,1535,1243,1243,1320,1094,1812,1157
1398,1398,3658,1398,744,1398,2799,2864,2793
7458,7790,9163,7458,7458,8188,7052,7790,7458
1130,1090,751,1090,1296,751,1090,1296,1130
834,834,834,834,912,834,1260,834,834
2501,311,311,2501,2501,2501,3011,2501,3538
2092,2092,2092,2092,2092,2092,2092,2092,2092
1525,1476,1476,1525,1525,1525,1525,1525,1476
503,800,684,684,684,503,503,684,503
1082,1531,1082,1363,1363,1170,1531,1082,1531
1366,1840,1579,1579,1579,1366,1629,1579,1629
1191,1989,1807,1546,1807,1191,1483,1191,1483
439,439,439,395,439,395,439,395,439
2252,2165,1755,2165,1755,1755,2264,1755,2599
662,662,1290,662,1428,1241,1212,1290,1290
1769,1643,1944,1594,2392,1834,1643,1769,2119
409,428,428,428,428,428,428,428,428
2025,2053,2074,2025,2074,2150,2271,2070,2025
632,1166,1375,1166,1166,1210,1210,632,1166
2327,2998,2327,2483,2804,2510,2413,2442,2510
747,725,1566,747,747,725,2300,1597,747
2745,1637,3564,2417,2417,3564,3236,3564,1637
1421,1438,1473,1438,1438,1473,1354,1473,1438
480,480,552,480,480,552,480,552,480
1386,1261,1428,1386,1428,1386,1428,1668,1428
900,1411,1718,959,1475,1640,845,1640,1321
2112,2112,2112,2112,2061,2112,2112,2112,1271
1023,1272,1272,1023,1023,1023,905,1023,1023
226,387,387,407,226,523,226,442,387
757,774,774,774,774,774,1980,774,880
241,421,589,421,421,241,347,589,241
1265,982,1151,1107,982,1151,1315,982,979
557,451,614,688,688,557,737,688,614
1234,1234,1234,1234,1249,1234,1754,1234,1385
848,848,848,848,848,848,848,848,848
318,318,318,861,318,318,1571,861,318
427,427,427,427,427,427,700,649,427
701,703,701,701,701,701,762,701,701
225,465,465,406,225,225,225,225,225
2350,2398,2269,2350,2350,2350,2504,2483,2350
556,556,556,556,556,564,686,556,564
598,627,627,665,627,665,646,627,627
571,571,744,742,744,571,1057,571,742
544,544,544,544,544,544,1406,544,544
745,1153,1207,1153,1153,967,967,1207,1207
615,1030,615,615,615,615,1285,1030,1030
566,1159,1173,566,543,883,1183,566,566
597,597,597,597,597,597,509,597,597
1104,1061,1104,984,984,1104,1393,1061,1104
849,1030,1030,1030,1030,1281,849,1030,1188
914,914,2833,914,1196,914,1488,2025,2833
608,608,608,608,608,608,2242,608,608
1870,1870,2032,1870,2032,1870,2008,2032,2032
2350,1063,1063,1063,1063,1063,2350,1063,2350
854,1029,895,854,1120,1029,1029,854,1029
408,463,463,408,885,463,408,463,463
1167,1815,1815,1348,1815,1506,1167,1603,1815
823,1004,1004,1004,1004,1063,823,1004,984
361,361,361,361,361,361,361,361,361
241,517,517,517,517,241,169,517,517
525,787,525,525,787,986,742,1233,525
868,868,868,868,868,868,1401,868,868
727,804,804,727,1029,727,1401,763,1445
780,780,869,780,1062,780,1354,1354,468
368,368,368,368,368,368,2544,368,368
421,421,476,421,476,421,421,476,421
629,629,961,780,629,971,1023,629,961
345,456,239,404,239,503,164,239,239
3083,3083,1970,3083,3083,3083,4012,3083,3083
702,702,702,702,702,702,2196,702,702
507,507,507,626,645,507,1112,507,626
408,228,529,228,228,408,289,228,228
1175,1175,1175,1175,1175,1175,3097,1175,1175
1929,1348,510,1348,1348,1472,2476,1348,1348
399,399,399,399,399,399,399,399,399
442,442,442,442,442,442,442,442,442
319,319,500,319,319,319,319,319,319
296,296,296,296,296,296,296,296,296
586,586,586,586,586,586,813,586,698
1163,1331,1331,1331,1207,1331,1331,1093,1331
306,306,306,306,306,306,306,306,306
2727,1734,1734,1734,2727,1734,3884,1734,1734
692,692,692,692,692,692,692,692,692
982,982,1011,982,982,982,781,982,781
624,624,782,624,624,624,443,624,443
958,1091,839,958,839,839,1430,839,839
797,1221,797,1221,797,1221,1560,797,797
575,575,575,575,575,575,601,575,575
1577,1577,1577,1577,1577,2876,3193,1577,1577
272,272,272,272,272,272,535,272,272
765,765,765,765,765,765,765,765,765
1215,1215,1215,1215,1215,1215,1215,1215,1215
686,686,686,686,686,686,686,686,686
1120,1120,1120,1120,1120,1120,1121,1120,1120
613,613,613,613,613,613,660,613,613
402,402,497,497,402,497,497,402,497
1220,1220,1220,1220,1220,1220,1234,1220,1220
538,538,538,538,538,538,877,538,538
1436,1436,1436,1436,1436,1436,1761,1436,1436
2588,1766,987,1766,1766,1766,3711,987,1766
242,242,242,242,242,242,1033,242,604
618,618,618,618,618,618,1163,618,618
703,703,703,703,703,703,804,703,703
2996,2996,2996,2996,2996,2996,5899,2996,2996
1463,1463,1797,1463,1463,1797,1797,1463,1463
229,229,229,229,229,229,229,229,229
723,723,776,723,723,776,723,723,723
634,634,634,634,634,634,1397,634,634
712,712,712,926,926,492,1019,712,926
641,641,641,641,641,439,1124,641,717
2483,2483,2483,2483,2483,2483,3244,2483,2483
418,418,418,418,418,418,714,418,418
534,534,534,534,534,534,759,534,534
640,640,640,640,640,640,2239,640,640
1932,1932,1932,1932,1932,1932,2039,2019,1932
559,559,559,559,559,559,1237,559,898
608,608,608,608,608,608,1577,608,608
659,659,659,659,659,659,659,659,659
854,854,854,854,854,854,1460,854,854
1064,857,857,857,857,857,3222,857,1004
422,537,537,422,537,537,537,537,422
961,961,961,961,961,961,1047,961,961
494,494,494,494,494,517,1356,517,494
487,487,487,487,487,487,826,487,487
728,728,728,728,728,728,1828,728,728
308,308,308,308,308,308,1343,308,308
593,593,593,593,593,593,1790,593,593
1080,1080,1080,1080,1080,1080,1186,1080,1080
533,533,533,533,533,1129,1570,1129,1014
649,649,649,649,649,649,649,649,649
1310,1310,1310,1310,1310,1310,2424,1310,1310
971,971,971,257,257,971,440,257,257
693,693,693,732,693,693,778,693,693
1347,1347,1347,1294,1294,1347,1347,1294,1347
820,820,820,820,820,820,1165,820,820
683,683,683,683,683,683,1158,683,683
802,1056,1056,802,1056,1056,1230,1056,802
2103,2103,2103,2103,2103,2103,4074,2103,2103
3031,3031,3090,2405,2405,3031,3440,2405,3031
432,432,432,432,432,432,1145,432,432
1227,1227,1228,1227,1227,1228,1228,1227,1227
1763,1763,1763,1479,1479,2102,2593,1479,1763
1223,1464,1464,973,973,1464,1223,973,1223
2423,2423,2423,2423,2423,2430,2686,2423,2423
603,603,603,603,603,603,1034,603,603
572,572,572,572,572,572,1737,572,572
1776,1776,1776,1776,1776,1776,1869,1776,1776
381,429,429,430,429,429,430,429,429
527,527,527,646,527,527,1106,527,665
198,198,198,198,198,198,425,198,198
560,560,560,560,560,560,1864,560,560
303,484,543,303,303,543,303,303,303
1720,1720,1720,1720,1720,1789,1789,1720,1720
323,323,323,323,323,323,606,323,355
466,466,466,466,466,466,1732,466,466
1605,1605,1605,1605,1605,1605,2386,1605,1605
397,397,397,422,422,422,423,422,397
410,410,410,410,410,410,517,410,410
1413,1413,1413,1413,1413,1413,2504,1413,1716
521,521,521,521,521,521,927,699,521
2268,2268,2268,2268,2268,2609,2942,2268,2268
362,362,362,362,362,362,701,362,362
361,361,361,361,361,361,1119,361,1009
422,422,422,422,422,422,528,422,422
609,609,609,609,609,609,1912,609,609
855,855,855,961,855,961,961,961,855
694,694,694,694,694,694,3597,694,694
881,881,888,881,881,888,1021,881,888
725,725,725,725,725,725,1428,725,1135
627,627,627,627,627,627,646,627,627
589,589,589,589,589,589,1064,589,589
842,842,842,842,842,842,1115,842,842
542,542,542,542,542,542,542,542,542
314,182,314,314,314,314,1262,314,182
1246,1246,1246,1246,1246,1246,2359,1246,1246
2747,2747,2747,2747,2747,2928,2747,2747,2747
837,1067,1067,837,1067,1067,1067,1067,1067
353,353,353,353,353,353,692,353,353
529,529,529,529,529,529,529,529,529
784,784,784,784,784,784,785,784,784
399,653,747,399,653,747,747,653,747
299,627,627,299,411,627,411,411,411
404,404,404,452,404,550,632,404,404
1358,1358,1358,1358,1358,1358,3785,1358,1358
1241,1241,1241,1241,1241,1241,2113,1241,1241
1101,1101,1101,1101,1101,1101,1101,1101,1101
413,413,413,413,413,638,638,413,413
831,1006,1065,1006,1006,1144,782,1006,879
402,1050,1104,642,642,1104,402,642,642
530,530,530,530,530,725,725,725,530
346,346,346,346,346,346,3128,346,346
453,453,611,272,272,611,272,272,272
1193,1241,1241,1193,1193,1241,1242,1241,1241
536,536,536,536,536,536,1067,536,849
774,774,774,774,774,774,1970,774,774
1092,1092,1207,1092,1092,1207,1207,1092,1092
3248,1911,1911,1911,1911,1911,3911,1911,1911
381,381,426,381,381,1081,743,426,381
988,988,988,988,988,988,988,988,988
333,333,333,333,333,333,333,333,333
1140,1140,1140,1140,1140,1140,2703,1140,1140
578,578,578,578,578,578,578,578,578
2078,2078,2078,1794,1794,2078,2803,1794,2078
1103,1103,1103,1103,1103,1103,2004,1103,1103
1203,1203,1203,1203,1203,1203,1619,1203,1203
364,168,364,364,364,364,461,168,364
381,381,381,550,550,381,634,381,381
1259,1259,1259,1259,1259,1339,1812,1259,1259
1014,1014,1014,1014,1015,1014,1015,1015,1014
651,651,651,651,651,651,744,651,651
1139,1296,1296,1139,1296,1296,1296,1296,1296
1256,1390,1256,1318,1256,1256,1545,1470,1390
1171,1171,1171,1171,1171,1171,2536,1171,1171
2391,1768,2022,2022,2022,1768,2881,2022,1768
1624,1624,1624,1624,1624,1531,2041,1624,1531
276,276,276,1309,276,841,1309,1071,276
849,849,849,849,849,849,2596,849,849
1512,1656,1512,1512,1512,1512,1685,1656,1530
2206,2231,2231,2206,2065,2206,2535,2231,2231
669,669,994,669,669,1230,1495,669,669
1126,1083,1083,281,1006,1126,1415,1083,1126
2283,2283,2283,2283,2283,2283,2713,2283,2283
490,490,490,490,490,490,490,490,490
1407,1213,1213,1213,1213,1407,1780,1213,1407
2540,1725,1137,1725,1137,1725,2770,1725,1725
751,751,751,751,751,892,881,751,751
3143,2537,938,2537,2537,938,3572,2537,3032
1416,1416,1416,1186,1186,1416,2245,1186,1132
329,397,397,329,329,329,329,329,329
1056,1056,1056,1056,1056,1056,1057,1056,1056
2612,2793,2793,2793,2680,2793,2612,2680,2612
4906,4906,4906,4906,4546,4906,4841,4906,4546
722,231,231,231,231,317,588,426,231
1008,1521,1521,1008,1420,1521,1224,547,1224
7173,7173,7395,7173,7173,7754,8284,7173,7173
2049,1166,1166,1166,1166,1828,2028,1166,2028
3116,2845,2380,3194,3116,3116,3332,2883,2845
1701,1362,1701,1701,1701,1701,1596,1362,1701
1156,1156,1156,1156,1156,1216,1522,1156,1156
1079,879,790,879,879,1032,1598,879,498
422,422,422,422,422,422,1164,832,422
519,519,577,519,519,519,717,519,577
625,686,926,625,686,625,686,686,686
324,324,324,324,324,1016,1590,1016,324
374,715,715,374,374,715,1048,715,715
788,850,788,788,788,850,1077,850,788
612,738,738,612,612,612,1239,738,1174
873,873,959,873,873,873,1209,873,873
676,676,676,676,676,676,676,676,676
758,758,758,758,758,758,758,758,758
881,681,1078,1078,881,881,1301,1078,681
2072,2072,2581,2072,1418,2072,2646,2160,2160
1418,1418,1418,1418,1418,1418,2171,1418,1418
1038,1379,1379,1038,1038,1379,1712,1379,1379
547,570,570,570,547,547,1409,570,570
2521,362,362,362,362,362,3297,362,2521
789,789,789,789,789,789,789,789,789
855,855,855,855,855,1167,1351,1167,855
327,327,433,327,327,327,433,327,327
371,371,371,371,371,371,371,371,371
554,554,554,554,554,823,967,554,554
1255,1255,1255,1255,1255,1255,2893,1255,1255
539,539,539,539,539,539,1151,708,539
714,714,714,714,714,714,714,714,714
765,313,313,313,313,313,1274,313,765
968,968,968,968,968,968,2626,968,968
1430,581,1430,581,581,581,2239,581,581
1297,527,527,527,527,527,1608,527,527
1050,1050,1050,1050,1050,1050,2776,1050,1050
358,358,358,358,358,358,358,358,358
2068,1487,665,1487,1487,1253,2137,1487,1487
624,624,963,624,624,963,963,624,624
222,222,222,222,222,222,789,222,222
467,467,467,467,467,467,1148,467,467
1441,1441,1441,1441,1441,1441,2166,1441,1441
412,412,412,412,412,412,541,412,412
456,831,831,456,456,456,931,831,831
775,775,775,775,775,775,1114,775,775
928,1047,1047,995,1047,928,1047,1047,1047
659,659,1095,659,659,659,659,659,659
877,1517,1517,877,1517,1517,1640,877,1517
1025,1025,1025,1025,1025,1025,3797,1025,1025
252,688,252,252,252,252,252,252,252
1718,1718,1718,1718,1718,1718,2428,1718,1718
331,331,331,331,331,331,2636,331,331
757,757,757,757,757,1383,1938,757,757
1526,1526,1526,1526,1526,1526,4519,1526,1526
589,589,589,589,589,589,1290,589,589
181,181,181,181,181,181,181,181,181
525,525,525,525,525,525,1890,525,525
567,567,567,567,567,567,1328,567,567
561,561,561,561,561,561,561,561,561
602,602,602,602,602,602,762,602,602
385,385,385,385,385,385,724,385,385
737,737,737,737,737,737,1068,737,844
179,179,179,179,179,179,179,179,179
605,605,605,605,605,605,873,605,605
664,664,664,894,894,664,1484,664,664
1606,1606,1606,1606,1606,1606,2012,1784,1606
498,498,498,498,498,530,781,498,498
709,709,709,709,709,709,755,709,709
943,1077,1077,943,1077,1077,1077,1077,943
477,477,477,477,477,477,578,477,477
727,727,727,727,727,727,852,727,727
435,688,688,435,688,688,910,688,435
736,736,966,736,736,966,966,966,736
1407,1407,1407,1407,1407,1579,1838,1573,1407
290,290,290,290,290,290,1327,290,290
869,869,869,869,869,1035,1053,869,876
534,534,534,534,534,534,534,534,534
588,588,588,588,588,588,1433,588,588
908,908,908,908,908,920,1023,908,920
590,590,590,590,590,590,1332,590,590
364,425,544,425,425,544,425,364,425
1192,1192,1192,1192,1192,1192,1569,1192,1192
733,973,1072,733,733,1072,733,733,733
705,705,705,705,705,705,778,705,705
1586,1586,1586,1586,1586,1586,1605,1586,1586
388,546,546,388,388,546,388,388,388
1616,1616,1616,1616,1616,1616,1776,1616,1616
992,992,992,992,992,992,1722,992,992
1068,1068,1068,1147,1068,1250,1153,1068,1068
820,820,820,820,820,820,1474,820,820
244,244,244,244,244,430,430,430,244
2088,2088,2088,2281,2281,1270,2403,2088,2281
564,564,564,564,564,564,1241,564,564
833,833,833,833,833,833,833,833,833
548,548,760,1053,760,533,1053,760,760
783,783,783,783,783,783,1671,783,783
495,495,495,495,495,495,1208,495,495
1559,1559,1559,1559,1559,1559,1985,1559,1579
842,842,842,842,842,807,1461,842,842
1108,1108,1108,1108,1108,1108,1140,1108,1108
621,621,621,594,594,621,597,621,621
398,398,398,398,398,398,487,398,398
493,493,493,493,493,493,2033,493,493
1111,1111,1111,1111,1111,1111,2696,1111,1111
1428,1428,1428,1428,1428,1428,1428,1428,1428
701,701,902,701,701,902,701,701,701
369,369,369,369,369,369,452,369,369
929,929,929,929,929,929,1375,929,929
2039,641,641,641,641,641,3139,641,641
2105,2286,2286,2105,2105,2286,2105,2105,2105
294,294,294,294,294,294,3139,294,294
1661,1661,1661,1661,1661,1661,3276,1661,1661
1026,1079,1116,1079,1079,1116,1026,1079,1026
1957,1957,1957,1957,1957,1957,5126,1957,2986
409,409,409,409,409,409,607,409,409
828,828,828,828,828,828,828,828,828
682,730,916,682,682,916,731,682,682
315,315,315,315,315,315,694,315,315
2250,2250,2250,2250,2250,2250,2685,2250,2250
832,832,833,833,832,833,833,832,833
377,377,377,377,377,377,1138,377,377
310,310,310,310,310,310,948,310,607
393,393,633,393,393,633,393,393,393
515,515,515,515,515,515,719,515,515
1214,1214,890,1214,1214,1214,2530,890,1214
1490,581,581,581,581,1403,2161,581,581
494,494,494,494,494,827,435,494,457
309,531,721,531,531,1180,618,531,309
1332,1671,2130,1671,1332,2056,1332,1332,1768
309,415,415,415,415,415,415,415,415
1605,1605,1605,1605,1605,1605,1605,1605,1506
1013,1135,1135,1135,1135,1135,893,1135,1135
504,504,504,504,504,504,504,504,504
858,809,809,858,858,809,858,858,858
334,681,681,681,681,681,623,681,431
741,741,741,741,741,741,1548,741,741
707,1053,1053,1053,1018,674,707,1018,638
744,889,889,889,889,889,843,889,843
536,536,536,536,536,536,1813,536,536
450,450,450,450,450,450,643,450,450
266,447,266,266,266,266,266,266,266
398,398,398,398,398,523,572,398,398
187,187,187,187,187,187,3004,187,187
288,288,288,288,288,288,335,288,288
756,756,756,756,756,756,3403,756,756
1106,1106,1106,1106,1106,1106,1171,1106,1106
268,268,268,268,268,374,374,268,268
1830,1830,1830,1830,1830,1830,2311,1830,1830
2782,680,680,680,680,680,3307,680,680
1134,1134,1134,1134,1134,1134,2247,1134,1134
392,392,392,392,392,392,392,392,392
499,499,499,499,499,499,499,499,499
1171,1171,1171,1171,1171,1352,1171,1171,1171
335,335,335,335,335,335,616,335,335
1293,1293,1293,1293,1293,1293,1937,1293,1293
790,790,790,790,790,790,896,790,790
698,698,698,698,698,698,1487,698,698
788,788,788,788,788,788,874,788,788
324,484,484,371,371,484,371,371,371
205,205,205,205,205,205,552,205,205
1078,1078,1078,1078,1078,1078,2515,1078,1078
227,227,227,227,227,227,3009,227,227
1061,1061,1061,1061,1061,1061,1923,1061,1061
324,570,324,324,324,324,324,324,324
2439,285,285,285,285,285,2963,285,2444
661,661,661,661,661,661,2355,661,661
535,535,535,535,535,535,535,535,535
2096,1812,2096,1812,1812,1812,2926,1812,1812
383,383,597,381,383,381,383,383,383
373,373,373,373,373,373,422,373,373
1592,1592,1592,1592,822,2083,2083,1592,822
2006,1384,1384,2006,1983,2568,2775,2006,2006
3792,4059,4006,3792,3792,4006,3792,4006,3792
1078,1233,1233,1078,1078,1078,1163,1078,1078
1147,2064,1852,1147,1059,1798,1486,1059,1059
858,1584,1299,583,998,1299,689,998,689
4245,4245,2483,4245,3664,4245,5180,4245,4245
330,330,1210,330,330,330,330,330,330
2029,2029,1994,1994,1994,1994,2187,1994,2029
481,481,801,743,743,801,376,801,481
