tries,flips,current,best
7,6,939.2577639751553,885.8540372670808
7,7,946.1024844720497,885.8540372670808
7,8,965.0186335403727,885.8540372670808
7,9,947.152950310559,885.8540372670808
7,10,941.6203416149068,885.8540372670808
7,11,943.1141304347826,885.8540372670808
7,12,935.4961180124224,885.8540372670808
7,13,932.6451863354038,885.8540372670808
7,14,930.6055900621118,885.8540372670808
7,15,933.90450310559,885.8540372670808
7,16,934.6420807453416,885.8540372670808
7,17,930.4262422360248,885.8540372670808
7,18,923.0768633540373,885.8540372670808
7,19,920.9751552795032,885.8540372670808
7,20,934.3268633540373,885.8540372670808
7,21,928.3392857142857,885.8540372670808
7,22,932.0590062111801,885.8540372670808
7,23,930.9340062111801,885.8540372670808
7,24,930.4076086956521,885.8540372670808
7,25,942.3291925465838,885.8540372670808
7,26,936.6063664596273,885.8540372670808
7,27,941.3765527950311,885.8540372670808
7,28,944.7383540372671,885.8540372670808
7,29,944.041149068323,885.8540372670808
7,30,927.9790372670808,885.8540372670808
7,31,930.52950310559,885.8540372670808
7,32,933.6878881987577,885.8540372670808
7,33,933.4464285714286,885.8540372670808
