UniformRandom,Uniform,GA (1 year),MA,PopulationProportionate,AllCityCenter,GA (1 week),Random,SLS
747,747,747,747,747,866,747,747,747
325,437,325,325,325,552,437,437,437
650,650,650,650,650,650,650,650,650
454,454,454,454,1688,3236,454,454,454
377,377,377,377,1216,2381,377,377,377
999,999,999,999,999,2613,999,999,999
564,564,564,564,564,1825,564,564,564
921,921,739,921,739,858,806,806,858
503,503,503,503,503,1365,503,503,503
362,362,362,703,362,980,362,362,362
1184,1037,1037,1037,1037,1483,1037,1037,1184
1621,1621,1372,1621,1970,1947,1621,1970,1621
542,542,542,542,542,591,542,542,542
686,1261,686,686,1216,1525,686,1261,686
547,743,488,488,307,307,488,547,307
328,328,328,328,328,1005,328,789,328
1333,1333,1178,1178,1178,773,1178,1333,1178
375,375,375,375,556,375,556,375,375
969,969,724,487,487,464,487,969,724
2159,2609,2071,2159,1617,1829,1617,2159,2071
6331,6502,4985,6072,5693,5481,4985,6072,4985
1623,2131,1021,1279,1021,319,1021,1279,658
553,553,861,553,861,2663,553,553,553
554,554,554,554,554,884,554,554,554
1360,2093,1360,1360,2093,2093,1360,2093,2093
2909,1740,2909,2909,3567,3527,2909,810,3567
4721,4721,5333,4721,5301,4507,5301,4721,4837
2428,2428,2428,2772,2428,2428,2428,2772,2766
1068,1068,1068,1068,1068,1068,1068,1068,2382
1730,1730,1730,1494,1730,1494,1730,1494,1730
901,901,901,901,901,1330,901,901,1155
1478,1478,1478,1478,1478,1478,1478,1478,1478
446,446,446,573,446,794,446,446,499
818,1262,1262,818,1248,1795,1262,818,1262
1347,1347,759,1347,1909,983,983,1347,1347
537,1154,1154,537,1154,1711,537,949,537
880,855,855,855,855,881,855,855,855
933,933,933,686,686,997,933,686,696
394,690,495,394,394,726,495,690,394
1044,1044,1044,1139,1044,1139,1044,1044,1139
2707,2707,2707,2608,2608,2368,2608,2707,2641
1237,1131,1131,1131,767,310,1131,1131,834
1967,1967,1967,1967,2507,3536,938,1967,1967
787,787,787,787,787,787,787,787,787
868,868,868,868,868,868,868,1049,868
962,781,781,1021,962,781,962,962,781
1252,1043,1043,1234,885,1234,1043,885,1234
462,662,462,859,462,883,462,462,462
629,629,849,629,629,1254,629,629,1253
1008,1008,1008,1008,1008,2577,1008,1008,1008
994,994,994,994,994,1027,994,994,994
321,321,321,321,321,757,321,321,321
788,788,788,788,788,788,788,788,788
1678,1678,1678,1678,1678,1928,1678,1678,1678
408,589,408,408,408,408,408,408,408
1706,1667,1667,1667,1667,1752,1706,1667,1667
557,557,557,728,557,1231,557,557,557
877,877,877,877,877,877,877,877,877
609,609,609,609,609,1152,609,609,1088
1017,1174,1174,1017,1017,1267,928,1017,1174
864,864,864,864,864,2462,864,864,864
725,725,725,725,725,818,725,725,725
531,531,531,531,531,838,531,531,531
3154,3154,3154,3154,3154,3185,3154,3185,3154
316,316,316,316,316,1340,316,733,316
307,307,307,307,307,2028,307,307,307
578,578,578,578,578,1051,578,578,759
827,827,827,827,827,827,827,827,827
982,982,982,982,982,1155,982,982,982
433,433,433,433,433,2399,433,433,433
1606,2392,1606,1606,2392,3222,1606,1606,1606
636,636,636,636,636,1513,636,636,1058
1263,1545,640,1263,1263,1837,1545,1263,1773
908,908,1190,908,908,1482,908,908,1190
985,985,985,985,985,985,985,985,985
240,240,240,240,240,346,240,240,240
677,677,677,677,677,3628,677,677,677
990,990,990,990,990,2339,990,990,990
447,447,447,447,447,447,447,447,447
525,525,525,525,525,2124,525,525,525
493,493,493,493,493,587,493,493,493
513,513,513,513,513,711,513,513,513
389,389,389,389,389,1623,389,389,389
948,948,948,948,948,1423,948,948,948
460,460,460,460,460,805,460,460,460
483,483,483,483,483,690,483,483,483
866,866,866,866,866,1163,866,866,866
267,267,267,267,267,973,267,267,587
350,350,350,350,350,763,350,350,350
480,480,480,480,480,1580,480,480,480
394,394,394,394,394,3329,394,394,394
1077,1077,1077,1077,1077,1790,1077,1077,1077
347,347,347,347,347,1712,347,347,347
828,828,828,828,828,828,828,828,828
798,798,798,798,798,1660,798,798,798
518,518,518,518,518,1857,518,518,518
323,323,323,323,323,1185,323,323,323
864,864,864,864,864,957,864,864,864
410,410,410,410,410,3150,410,410,410
731,1130,731,731,731,1286,731,1130,731
416,416,416,439,416,1278,416,439,416
234,234,234,234,234,234,234,234,234
602,602,602,602,602,602,602,602,602
262,262,262,262,262,409,262,262,513
460,460,598,460,460,532,598,460,460
679,679,478,478,478,478,478,679,478
346,346,346,688,346,688,346,688,688
633,633,633,633,633,726,633,633,633
576,576,576,576,576,1397,576,576,576
403,403,403,403,403,475,403,403,403
488,488,630,630,488,922,630,488,630
1831,2022,2022,2250,1831,2314,2022,1553,1831
546,546,546,546,546,1497,546,546,546
778,778,642,642,627,1147,642,627,778
432,432,432,432,432,1302,432,432,432
782,782,782,782,782,1451,782,782,1380
559,559,559,559,559,608,559,559,559
303,303,303,303,303,1165,303,303,303
420,431,420,431,420,431,431,431,431
468,468,468,468,468,1554,468,468,468
2032,2032,2032,2067,2032,2225,2032,2067,2032
487,487,487,487,487,780,487,487,487
856,934,934,934,856,962,856,856,856
706,706,706,706,706,725,706,706,706
1574,1574,1574,1574,1574,2687,1574,1574,1574
807,807,807,807,807,856,807,807,807
524,524,524,524,524,1198,524,524,524
431,431,431,1251,1251,2382,431,1251,431
242,242,242,242,242,242,242,242,242
2314,2314,2314,2314,2314,2446,2481,2481,2314
504,674,674,674,504,553,674,744,674
1106,549,1106,1106,1106,2135,1273,1273,549
7173,7173,7173,7279,7173,7233,7173,7376,7173
760,760,760,760,760,1211,760,1334,760
470,470,470,470,470,470,470,470,470
1216,1216,1115,1115,1115,1115,1115,1216,1115
1257,1257,1257,1257,1257,2310,1257,1257,1257
679,679,679,791,679,1365,679,791,679
450,450,450,450,450,688,450,450,450
1277,1277,1277,1277,1277,1307,1277,1277,1277
574,574,574,574,574,1229,574,574,800
141,141,141,141,141,962,141,758,758
292,292,292,292,292,292,292,292,292
908,908,908,908,908,2114,908,908,908
402,597,402,402,402,449,402,597,402
607,607,607,607,607,1516,607,607,607
1413,1413,1413,1413,1413,2598,1413,1413,1413
1186,1186,1186,1186,1186,1292,1186,1186,1186
1197,1197,1197,1199,1197,1330,1197,1197,1197
286,286,286,286,286,286,286,286,286
473,473,473,473,473,723,473,473,473
483,483,602,483,483,1088,602,483,483
1502,1502,1502,1502,1502,1689,1502,1502,1502
964,964,964,990,710,990,964,632,964
400,400,400,400,400,268,400,400,400
315,315,315,315,315,3249,315,315,315
1078,1078,1078,1078,1078,1367,1078,1078,1078
708,708,527,527,527,527,527,708,527
588,588,588,1451,588,1515,588,588,588
792,792,792,792,792,864,792,792,792
939,939,939,939,939,939,903,939,903
664,664,664,664,664,2603,664,664,664
543,721,221,327,221,327,327,937,327
923,923,1059,923,923,1428,1059,908,1059
787,787,787,787,787,1723,787,787,787
955,608,608,608,945,1209,608,608,608
1182,1182,1182,1182,1182,1972,1182,1182,1182
2274,2274,2274,2274,2274,2187,2274,2274,2274
353,445,353,353,353,353,353,353,353
388,388,1169,1080,1080,1654,1169,1080,388
563,478,563,478,563,704,563,478,478
971,971,971,971,971,730,971,887,971
1087,1087,1087,1087,1087,1093,1087,1087,1087
667,667,667,667,667,902,667,667,667
564,564,564,564,564,1008,564,564,564
723,723,723,723,723,3626,723,723,723
354,288,363,363,363,605,363,363,288
221,221,221,221,221,221,221,221,221
1103,1103,1103,1103,1103,1623,1103,1103,1103
662,662,662,662,662,1339,662,662,1123
197,197,197,197,197,197,197,197,197
307,307,307,307,307,1124,307,307,307
2324,2324,2324,2441,2324,2229,2324,2324,2324
226,226,226,226,226,3008,226,226,226
1231,1231,1231,1231,1231,1317,1270,1231,1231
423,423,423,423,423,423,423,423,423
693,752,512,512,512,512,512,752,512
1064,1064,1064,1064,1064,2178,1064,1064,1064
632,632,615,632,632,808,632,632,632
729,729,729,642,642,1068,729,729,642
910,910,435,435,435,564,435,435,435
308,608,308,608,308,352,308,308,308
769,769,769,684,684,761,722,769,684
1057,1229,1057,1057,1229,2456,1057,1057,961
442,442,442,442,442,821,442,821,442
926,870,870,870,338,873,338,870,338
1000,1000,1041,986,986,941,1027,1146,1041
2007,2007,1358,1118,1118,1135,1614,1817,1358
1382,1382,1382,1264,1141,828,1264,1382,1382
985,985,701,985,985,1169,985,985,1074
630,630,291,630,291,979,291,291,630
1054,1054,1054,1258,1258,1258,1237,1054,1054
1154,1512,1331,669,503,1025,669,1154,669
3929,4660,2079,2079,3431,3135,2079,3431,1293
2184,2184,2184,2038,1752,1192,1311,1752,2184
2713,2713,1858,1388,1007,888,1858,1007,1858
3783,3783,3783,3783,3783,3783,3783,3783,3783
2705,2705,2705,2431,411,3098,2705,2431,3098
788,788,788,788,784,788,784,788,788
1293,1293,1293,1358,1358,1358,1358,1293,1358
1131,1131,1131,1250,1250,1131,1250,1131,1131
1550,2057,1550,1550,1550,2775,2266,1550,2266
778,699,699,737,699,784,699,699,778
1787,1768,1446,1600,1787,1787,1600,1787,1600
1822,1822,2074,2074,1822,2375,1822,1822,2413
2457,2508,2508,2693,2457,2619,2457,2508,2619
1487,1487,2034,2034,2137,2838,2034,2034,2034
478,478,478,478,478,478,478,478,478
811,811,811,811,811,1550,811,1459,811
2018,2018,1288,2018,2018,2592,2018,2018,2299
495,495,495,552,495,655,495,495,630
2143,2143,2336,2023,2023,2554,2336,2023,2490
2198,2198,2198,2198,2198,2198,2198,2198,2198
611,611,611,582,611,610,611,611,611
408,408,1025,1025,408,1350,408,1132,408
539,539,539,539,539,892,539,539,539
2181,2403,1528,1528,1397,1577,1528,1397,2181
578,578,578,578,578,1988,578,578,578
437,437,437,437,437,437,437,437,437
1087,1087,1087,1087,1087,871,1087,1087,1087
1234,1339,1104,1234,1104,1113,1104,1104,1339
5079,5571,4974,5079,4916,4532,4974,4974,5177
2088,2503,2088,1799,1270,1159,2017,1560,2590
384,384,490,490,384,490,384,384,490
729,729,794,724,728,728,728,729,729
3838,3838,3838,3838,3838,3838,3838,3838,3838
419,419,464,419,419,781,419,419,419
795,433,770,770,433,812,780,433,433
813,673,813,813,813,945,813,673,673
407,407,407,407,407,407,407,407,407
1460,1460,1451,1460,1460,2053,1451,1451,1788
335,335,335,335,335,335,335,335,335
1537,1537,1537,1537,1537,1537,1537,1537,1537
811,811,630,630,630,630,811,811,630
624,1001,1001,624,624,1001,624,624,1001
340,340,340,340,340,649,340,340,340
692,692,692,692,692,2307,692,692,692
446,402,402,402,402,496,446,402,402
559,559,559,559,559,609,559,559,559
1653,1653,1653,1653,1653,1653,1653,1653,1653
978,978,797,797,797,797,978,978,797
969,969,969,969,969,1873,969,1317,969
603,603,603,944,603,1277,603,603,603
1202,1505,1505,1202,1505,2376,1202,1505,1202
457,457,457,457,457,586,457,457,457
2445,2445,2445,2445,2445,3343,2445,2445,2445
2780,2780,2780,2780,2780,3493,2780,2780,2780
1076,1076,1076,1076,1076,3287,1076,1076,1076
1795,1795,1172,1795,1795,2369,1795,1795,2077
869,869,869,869,869,1096,869,869,869
670,670,670,670,670,1213,670,670,738
1485,1485,1485,1485,1485,2598,1485,1485,1485
2407,2407,2068,2407,2407,2898,2407,2581,1784
370,370,370,370,370,370,370,370,370
984,984,984,984,984,985,984,984,985
427,825,774,427,427,774,427,825,774
708,708,708,708,708,723,651,708,708
262,262,262,262,262,219,262,262,575
573,515,515,573,515,1652,573,515,573
141,141,141,141,141,713,141,141,141
299,299,299,299,299,497,299,299,299
333,333,333,333,333,749,333,577,333
1248,1248,1248,1248,1248,1739,1248,1248,1248
616,616,616,616,616,616,616,616,616
5245,5245,5064,5064,5064,5064,5064,5245,5064
436,495,436,255,255,255,255,594,255
1850,1850,1850,1850,1850,2963,1850,1850,2134
489,845,845,845,489,1163,845,899,845
253,253,253,253,253,253,253,253,253
1273,1273,1273,1273,1273,1612,1273,1519,1273
445,445,445,445,445,678,445,678,445
664,664,664,664,664,2025,664,664,664
380,380,380,380,380,1614,380,380,380
722,722,722,722,722,1393,722,722,722
330,330,330,330,330,3007,330,330,330
680,680,474,474,474,546,680,474,474
3342,3342,3101,3101,3101,2968,3352,3193,3021
460,460,460,460,460,656,460,460,412
852,934,852,852,852,631,934,631,852
389,389,1502,389,1502,2283,1502,389,1502
2338,2380,2338,2380,2338,2380,2380,2380,2338
2719,2719,2719,2719,2719,2719,2719,2719,2719
625,625,625,625,625,2888,625,625,625
3579,3579,3579,3579,3579,3640,3579,3640,3579
2795,2795,2795,2795,2795,2880,2795,2795,2795
1600,1600,1600,1600,1600,1600,1600,1600,1600
309,677,309,309,309,654,309,309,309
2513,2513,2513,2513,2513,3392,2513,2513,2513
1278,1404,1278,1278,1278,1848,1278,1278,1570
526,526,526,526,526,526,526,526,526
241,241,273,273,273,241,241,273,273
700,759,700,759,700,519,519,700,519
641,641,641,641,1180,3190,641,641,1180
2126,2126,2126,2126,2126,2601,2126,2126,2126
467,467,467,1191,467,1765,467,1191,467
647,647,647,647,722,1063,647,647,647
233,233,233,233,233,897,233,233,233
329,329,329,329,329,3146,329,329,329
3021,3021,3286,3514,3021,3578,3286,2817,3286
473,473,473,473,473,473,473,473,473
634,634,634,634,634,634,634,634,634
1150,1150,1150,1150,1150,1222,1150,1150,1150
1214,1214,1033,1033,1033,1033,1033,1214,1033
837,579,993,993,617,964,993,617,1051
1208,1208,1208,1208,1208,1589,1208,1208,1208
810,810,810,810,810,1478,810,810,810
146,146,146,146,146,791,146,235,235
786,786,786,786,786,786,786,786,786
829,829,829,829,829,1001,829,829,829
531,531,531,1154,531,1728,531,1154,531
571,571,571,586,571,1412,571,586,571
546,546,546,546,546,546,546,546,546
373,373,373,373,373,809,693,373,373
1192,1192,1192,1192,1192,2830,1192,1192,1192
560,560,560,560,560,1925,560,560,560
1347,1347,1347,1347,1347,1651,1347,1347,1347
2400,2400,2400,2400,2400,2400,2400,2400,2400
1212,841,841,841,841,1373,841,841,1212
483,483,302,302,302,302,302,483,302
1742,1742,1742,1742,1742,2820,1742,1742,1742
522,522,522,522,522,1246,522,522,907
268,268,268,268,268,704,268,268,268
801,801,801,801,801,850,801,801,801
335,335,335,335,335,335,335,335,335
451,826,451,670,197,608,451,613,451
1303,1372,1303,1303,598,937,844,844,976
947,947,947,947,947,947,947,947,947
845,869,845,845,710,777,845,845,710
3148,3654,3148,3148,3096,2856,3148,3148,3148
1160,1700,1160,1160,1160,1700,1160,1681,1160
280,280,280,280,280,789,280,280,280
768,768,768,768,768,768,768,768,768
434,469,253,253,253,253,253,434,253
747,1126,747,747,653,747,747,747,747
1228,1260,1260,1260,823,916,1228,823,1228
469,469,469,469,435,380,469,469,469
1690,1690,1690,1690,1489,2252,1690,1690,1690
492,492,633,638,182,638,582,492,633
213,213,213,213,213,213,213,213,213
342,1018,342,342,342,1516,342,342,959
717,934,717,931,717,717,717,934,717
285,389,422,422,389,723,422,389,285
797,1387,797,1387,797,959,797,1222,797
530,1005,1005,1005,530,1005,530,1005,530
3658,4235,3658,4235,3658,3658,3658,4235,3658
1201,1324,1201,1376,1184,1051,1201,1324,1184
425,425,425,425,425,320,425,425,425
2248,2248,2248,2248,2248,2353,2248,2248,2571
981,587,587,587,981,587,587,587,981
1133,949,1018,720,936,326,1018,1133,1221
1437,1437,1437,1688,599,1200,1437,1437,1437
1520,1076,1076,1388,986,331,1076,1388,1388
753,753,753,753,753,753,753,753,753
1704,1704,1704,1704,861,1138,1704,1704,1704
2844,2813,2813,2844,2714,2474,2714,2474,2714
796,1854,796,796,796,1825,796,796,796
1610,1975,1610,1610,1957,1957,1610,1610,1610
1048,1048,1050,1224,1048,1622,1050,1048,1050
5419,5506,5318,5355,5345,5345,5318,5506,5345
3401,3278,3401,3401,3401,3439,3401,3278,3401
593,628,593,593,593,1240,593,710,593
627,627,383,422,383,646,627,627,627
727,665,695,488,665,954,695,879,665
4821,4927,4821,4821,4821,4927,4821,4912,4821
782,749,1246,1072,782,749,782,782,1407
911,911,911,911,911,911,911,911,911
509,476,509,476,591,1072,509,476,509
3601,3762,3711,3601,3632,3651,3711,3717,3632
1313,443,443,562,443,1313,443,443,1091
2068,2068,2068,2608,2068,2972,2068,2608,2068
2094,2148,2296,2296,2296,2957,2296,2296,2094
1361,1361,1361,1361,1361,2487,1361,1361,1361
684,684,684,684,684,1275,684,684,684
909,677,677,909,677,909,677,909,837
556,522,522,588,650,639,522,588,588
897,897,597,1271,597,1271,597,897,897
1637,1637,1637,1637,1637,1985,1637,1637,1637
512,693,656,656,656,683,656,656,656
1001,1001,1001,1731,1001,2305,1001,1731,1001
196,196,196,196,196,489,196,196,196
911,911,928,928,911,928,928,928,928
516,516,516,516,516,3224,516,516,516
445,445,445,445,1345,1895,445,445,445
1643,1643,1719,1643,1643,2080,1643,1643,1719
782,1421,1421,1078,1410,1410,1361,1361,782
2218,3061,2233,2264,1503,1639,1871,1757,1939
1451,2139,1117,1117,617,251,1093,1093,1058
1969,1922,1677,1905,1667,1799,1905,1437,1677
1816,2100,1816,1816,2100,2153,1816,1816,1816
769,529,468,529,468,529,529,468,529
429,429,429,429,429,603,429,429,429
508,600,817,808,600,849,817,849,817
1930,2420,962,2103,1930,2103,1930,2103,962
680,1058,680,680,680,1019,680,680,680
858,973,610,610,610,688,610,610,610
2450,2608,1953,2450,1803,1617,1953,1617,2450
962,962,962,962,962,962,962,962,962
6004,6247,5569,5569,5569,5405,5230,5569,4388
1262,2056,1262,1065,878,2052,1065,1262,1262
953,953,953,953,953,953,953,953,953
494,494,494,1193,494,494,494,494,494
1523,1949,1523,1523,1949,1948,1523,1523,842
537,882,518,518,517,517,489,489,541
809,809,809,809,809,2800,809,809,809
2122,2122,2122,2122,2122,2333,2122,2122,2122
1007,1234,1220,1220,1090,1234,1220,1220,1220
760,989,1038,760,760,1132,989,760,1132
1487,1947,1235,1574,1235,2107,2107,1574,1574
1367,1375,1367,1003,767,1367,1367,1375,1367
976,1281,1380,976,976,1684,1380,976,1380
868,1005,934,903,493,1167,678,934,934
372,372,372,372,372,372,372,372,372
3423,3151,2970,2970,3309,2970,3210,3309,2970
116,116,116,116,116,116,116,116,116
859,522,859,859,744,831,781,859,831
690,690,735,501,501,550,676,501,676
387,387,387,387,387,387,387,387,387
1233,1233,1233,1233,1233,2990,1233,1233,1233
1200,1361,1361,1361,1361,1774,1361,1361,1361
788,788,788,788,788,2078,788,788,788
336,336,336,531,336,876,336,336,336
890,890,890,890,890,890,890,890,890
700,700,700,700,700,1562,700,700,949
1058,996,996,1058,996,1285,1058,996,996
1452,1903,1452,1903,1452,2091,1452,2037,1452
483,483,483,483,483,2381,483,483,483
396,1013,396,396,396,952,396,1013,396
872,872,872,872,785,1082,785,1082,872
284,368,368,368,368,799,284,368,284
441,441,441,441,441,488,441,441,441
2853,2853,2853,2942,3560,4171,2853,3592,2853
1258,1258,660,1258,1258,1522,1258,1258,1258
867,867,867,867,1512,2450,867,867,867
562,562,783,562,562,1441,562,562,1149
321,321,321,321,321,796,321,321,321
510,629,648,510,510,944,629,510,1050
780,780,780,780,780,780,780,780,780
564,564,564,564,564,1426,564,564,564
397,397,397,397,397,397,397,397,397
566,566,566,566,566,566,566,566,566
1170,792,792,792,792,1957,1170,792,1170
680,680,680,680,680,786,680,680,491
688,688,688,688,688,794,688,688,794
504,504,504,504,504,504,504,504,504
756,756,960,756,756,1517,756,756,1225
722,722,722,722,722,722,722,722,722
538,538,538,538,538,883,538,538,538
1135,1135,1135,1135,1135,1610,1135,1135,1135
665,665,665,665,665,1846,665,665,665
699,699,699,699,699,748,699,699,699
504,504,504,504,504,666,504,504,555
323,323,323,619,323,951,323,323,323
378,378,378,378,378,378,378,378,378
632,632,632,632,632,784,632,632,632
937,937,937,937,937,937,937,937,937
451,510,396,396,396,396,396,510,396
260,260,260,1098,1098,1608,260,1098,260
682,682,638,638,638,682,682,682,638
837,837,837,837,837,1144,837,837,837
558,897,558,558,558,897,558,897,558
654,835,654,654,654,654,654,835,654
605,605,605,605,605,1148,605,605,837
805,946,805,805,805,1152,805,946,805
527,546,297,297,297,297,297,732,297
782,782,685,685,685,671,685,1072,671
790,790,790,790,790,1312,790,790,790
341,341,341,341,341,1231,341,341,341
640,640,640,640,640,1758,640,640,640
209,209,209,209,209,209,209,209,209
1084,1084,1084,1084,1084,1085,1084,1084,1084
1141,1141,1141,1141,1141,1242,1141,1141,1141
1135,1135,1135,1135,1135,1135,1135,1135,1135
1015,1354,1015,1015,1015,1354,1015,1354,1015
667,667,667,667,667,1322,667,667,893
631,631,631,631,631,854,631,631,631
475,475,475,475,475,1020,475,475,475
375,375,375,1247,1247,1557,375,1247,375
552,552,552,552,552,888,552,552,552
747,747,747,747,747,1428,747,747,1020
1053,1053,1053,1053,2106,4049,1053,1053,1053
664,664,664,747,664,1011,664,747,664
1136,1136,1136,1136,1136,1265,1136,1136,1136
897,897,897,897,897,1475,897,897,897
579,579,579,579,579,672,579,579,579
616,616,616,616,616,1945,616,616,616
1034,1034,1034,1034,1034,1703,1034,1034,1632
354,354,354,354,354,944,354,354,354
784,784,784,784,784,1737,784,784,784
593,593,593,593,593,996,593,593,890
1194,1194,1194,1446,1194,1930,1194,1446,1194
1293,1293,1293,1293,1293,1890,1293,1293,1104
242,242,242,242,242,971,242,242,242
668,668,668,922,668,1071,668,668,922
514,514,514,514,514,514,514,514,514
4094,4094,4094,4094,3967,4315,3967,4094,4315
1019,1019,1145,1019,614,1145,1145,1019,1019
1744,1744,1744,1744,1744,1815,1744,1146,1744
262,262,262,262,262,609,262,262,262
804,804,804,1107,804,1978,804,1107,804
2099,2099,1859,1859,1859,1859,1859,2099,1859
1482,1482,1482,1482,1260,1113,1482,1482,1482
506,506,506,506,506,765,506,506,463
1687,1687,966,966,966,2367,966,966,1687
331,331,331,331,331,1203,331,331,331
1387,1387,1387,1387,1387,1412,1387,1387,1387
1137,1137,1137,1137,1123,1123,1137,1137,1137
874,2476,874,874,398,1367,874,398,874
1226,1226,1226,1226,1226,1518,1226,1226,1226
1372,1372,1372,1372,667,787,1372,1372,667
1552,1552,1552,1552,1417,769,1552,1552,1108
5001,5001,5001,5001,4904,4180,4963,4963,5006
646,646,646,646,646,312,646,646,646
1483,1483,1364,1364,879,1364,879,879,1364
750,750,750,750,200,200,200,458,750
518,518,518,518,518,518,518,518,518
1027,1027,1027,1027,1027,1185,1027,1027,1027
860,860,860,860,860,3137,860,860,860
1516,1516,1516,1770,1516,1618,1516,1770,1516
371,371,371,371,371,338,371,371,371
1384,1384,1384,1384,1384,2968,1384,1384,1384
1390,1390,1390,1390,1852,2222,1940,2106,1390
411,411,411,525,411,411,411,598,411
2822,2855,2822,3359,2493,2608,2493,2855,2822
675,675,675,675,1454,2781,675,675,1454
668,668,668,668,642,668,668,668,668
484,484,484,1579,484,1247,484,736,484
3504,3760,3504,3760,2362,2939,3504,3504,3153
976,1967,976,1964,976,556,976,1964,976
2011,3055,1956,1956,1662,358,1868,3055,2011
263,263,263,263,263,613,263,263,542
465,465,465,465,353,576,353,353,599
460,460,460,460,460,460,460,460,460
1318,1318,1318,1318,1251,1732,1251,1251,1318
385,409,204,204,204,204,204,409,204
1522,1522,1224,1522,1224,1861,1224,1389,1224
735,735,735,735,735,967,735,735,735
800,800,800,800,800,800,800,800,800
1247,222,1247,778,1060,1872,1247,1060,222
3387,4050,3387,3387,3517,4367,3334,3607,3387
540,540,540,540,540,540,540,540,540
231,231,231,231,231,231,231,231,231
261,261,261,261,261,791,261,602,261
270,270,270,270,270,579,492,529,270
2013,2013,2025,2013,2025,2013,2025,2238,2025
858,858,677,677,677,677,677,858,677
249,249,1483,249,249,2678,1483,249,249
391,391,391,391,391,606,391,391,606
508,508,508,508,508,508,508,508,508
792,792,792,792,792,841,792,874,792
793,1069,721,721,721,721,721,1030,721
433,433,433,433,433,626,433,433,433
548,548,548,548,548,1301,548,548,548
2281,2281,2281,2281,2281,5005,2281,2281,2281
417,417,417,417,417,1091,417,758,758
444,444,444,444,444,919,444,444,444
259,259,259,259,259,887,259,555,259
385,385,385,385,385,385,385,385,385
1154,1154,1154,1154,1154,3054,1154,1154,1154
393,393,426,426,393,912,426,393,393
1453,1220,1326,1326,1390,1390,1326,1390,1390
1065,1065,1065,1065,1065,1065,1065,1065,1065
1214,1060,1214,1214,799,1060,1376,799,1214
1438,1312,1312,1312,1312,1232,1312,1312,1438
1839,1839,1839,1839,1839,2773,1839,1726,1839
670,670,670,1085,670,1340,670,670,670
269,1094,269,269,269,269,1073,1094,269
478,1091,478,478,478,960,478,882,751
775,775,775,775,775,775,775,775,775
949,1271,550,949,550,1016,949,550,550
828,862,862,773,773,773,862,862,773
368,368,368,368,368,893,368,368,368
1441,1441,1441,1441,1260,1260,1441,1441,1260
133,133,133,133,1195,2499,133,133,1195
618,1023,618,618,618,1288,1023,1023,618
657,657,657,657,657,742,696,740,657
3098,3328,3044,3044,3044,3617,3044,3098,3098
1652,1930,1652,1652,1652,2366,1652,1981,1652
1780,1780,1462,1462,1780,2236,1462,1780,1462
723,723,723,723,723,723,723,723,723
1373,1373,1373,1373,1373,1712,1373,1443,1373
802,802,802,802,1013,2458,802,802,802
273,273,273,273,273,676,273,273,273
1124,1124,1124,1124,1325,1124,1124,1124,1124
1359,1412,913,913,913,1412,913,1359,913
389,389,389,389,389,1099,389,389,389
1639,1534,1624,1567,1624,1503,1567,1624,1624
822,1116,750,750,750,750,750,750,750
566,2644,1042,566,566,1535,1444,566,1444
2180,2671,1932,1932,1932,2457,2180,1932,2180
1201,1201,1201,1201,1304,3475,1201,1201,1304
1840,1840,1840,1840,1266,1840,1840,1266,1840
887,887,1448,1713,2203,1448,1886,887,748
2075,2075,1894,1941,1941,2756,1941,2075,1941
717,717,717,717,557,717,717,717,717
1497,2214,1497,1497,1497,912,1497,1161,2351
3038,3038,3038,3038,2748,2497,3038,3038,3038
889,889,889,889,889,889,889,889,934
1501,1501,2442,1555,1701,2442,2442,1555,2537
1039,1039,789,789,608,608,789,789,608
1480,1013,1013,1013,1013,832,1013,1013,1188
944,944,944,683,683,680,944,944,944
1686,1686,1347,1347,1686,1495,1402,1686,1686
2685,2685,2066,2066,2685,2685,2066,2685,1623
1891,821,821,1891,1814,2067,1651,821,821
1478,878,1213,1340,1213,1478,1340,1213,1213
435,1040,704,435,435,1040,435,435,628
2450,2450,2990,3194,3077,3084,2970,2450,2450
1713,1778,1778,1292,1292,1778,1596,1292,1778
1962,1594,1962,1873,1824,1962,1962,1962,1962
1450,947,1286,1286,1286,1286,1286,1498,1294
761,761,600,804,600,916,761,600,600
1362,710,1362,1362,1362,1427,1362,942,1427
1131,769,769,950,769,779,769,601,1303
616,616,616,308,308,1129,308,616,308
1378,2185,1378,1378,1378,2891,1378,1378,1378
841,594,184,841,841,913,594,841,594
787,787,787,811,811,787,787,811,787
734,622,1062,671,671,671,1017,622,622
2016,1690,1191,1191,1191,1690,1191,1373,1191
888,888,888,888,888,1363,888,888,888
644,763,767,644,644,587,785,644,644
1655,1655,1638,1494,1638,1202,1655,1638,1638
980,420,395,422,422,395,395,395,395
1561,1863,1517,1561,1468,1517,1517,1468,1561
416,620,620,416,416,1202,620,416,909
348,929,417,417,417,362,348,362,362
782,435,435,435,772,1036,435,797,435
269,450,269,269,450,269,450,450,269
463,641,461,463,463,500,461,463,500
1299,1250,677,1299,1299,1848,1250,1299,1581
369,451,350,350,350,681,350,369,451
638,638,585,585,585,578,585,585,585
811,811,733,733,733,836,676,676,811
243,243,243,243,243,243,243,243,243
458,499,458,418,458,618,458,418,458
2307,2307,2307,2307,2307,2307,2307,2307,2307
616,821,871,635,821,616,635,635,616
455,455,455,455,455,1927,455,455,455
379,483,379,379,379,912,379,379,1281
323,323,323,323,323,3000,323,323,323
