UniformRandom,Uniform,GA (1 year),MA,PopulationProportionate,AllCityCenter,GA (1 week),Random,SLS
436,436,436,436,436,508,436,436,436
2501,2250,2501,2501,2644,2644,2501,2501,2501
579,579,579,579,579,1135,579,579,579
1722,1722,1722,1722,1722,1723,1722,1722,1722
886,1193,886,886,886,982,886,1193,886
612,612,612,612,612,818,612,612,612
561,346,561,561,221,777,561,221,561
301,301,301,301,301,844,301,301,533
797,797,797,797,797,971,922,797,797
623,623,623,623,613,597,623,613,613
360,305,360,360,305,1479,360,305,922
2619,2619,2619,2619,2619,2958,2619,2619,2619
1580,1580,1580,1580,1580,2693,1580,1580,1580
1210,1210,1014,1014,1210,2438,1014,1210,1210
20185,20185,20185,20185,20185,21055,20185,20185,20833
749,749,749,749,749,1885,749,1487,749
1165,1165,1165,1165,1165,4049,1165,1165,1165
806,806,806,806,806,806,806,806,806
4269,4269,3440,3440,3952,4269,3440,3952,3952
4980,5019,4641,3589,4980,4980,4425,4980,4980
551,551,551,551,300,843,551,300,551
944,944,944,944,944,749,944,944,944
465,465,465,465,465,523,465,465,465
6445,6445,6445,6177,6177,6607,6177,6607,6177
543,660,543,543,543,496,543,729,543
1975,1975,1975,1975,1975,2455,1975,1555,1975
1250,1418,1370,1250,1250,1419,1370,1418,1250
582,582,649,649,582,715,582,582,582
1127,1127,915,576,915,858,915,955,915
759,759,759,759,759,728,759,759,759
5292,5292,5096,5096,5096,4484,5096,5292,5096
131,131,131,131,131,131,131,131,131
418,418,418,418,418,1322,418,418,766
911,915,911,911,911,963,911,915,911
328,555,328,328,328,555,328,555,328
1186,1186,1186,1186,1186,1929,1186,1843,1597
1001,1001,1001,1001,1522,2272,1001,1001,1001
1568,1984,1568,1568,1568,1979,1568,1984,1568
2117,2117,1338,1338,1338,2936,1338,2117,1338
1816,1974,1147,1147,1100,1147,1147,1816,1147
2277,2051,2277,2343,2277,2258,2277,2051,2277
720,720,720,720,720,720,720,720,720
1118,1003,488,488,1118,1118,488,1118,1118
949,949,1311,1385,1189,949,1311,1189,1189
2023,2023,2023,1971,2023,2023,2023,2023,2023
1004,416,416,1004,1004,1581,416,1004,416
5887,6045,5706,5706,5706,5706,5706,6045,5706
1950,1950,1487,1891,1487,1699,1487,1950,1487
567,567,284,567,390,278,559,567,559
806,1242,806,806,806,1131,806,806,345
3238,3238,2309,2782,2455,2416,2309,3238,2455
1256,1616,601,1250,601,688,601,1616,791
458,458,458,458,458,2774,458,458,458
2566,2591,2525,2525,2525,2360,2525,2591,2525
1533,1533,1442,1505,1505,1533,1442,1533,1505
715,554,444,715,328,983,444,554,715
301,390,252,301,252,390,252,390,301
693,693,995,693,995,2162,995,693,693
2019,2019,2019,2019,2019,2550,2019,2019,2234
522,522,2542,522,2886,3315,2542,522,2194
222,222,222,222,222,222,222,403,222
4634,4781,4634,4634,4634,5002,4634,4784,4676
879,864,1644,879,1965,2070,1644,1702,1671
487,458,292,339,292,339,292,601,339
